lead_bucket,inning_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_1,early_1_3,50_55,1916,0.632,0.6242,0.5037,0.3967,0.547,0.4217,0.9635,1.506,1.59,1.318,,,
up_5_plus,late_7_plus,50_55,1778,0.9944,0.0056,0.0056,0.3526,0.4128,0.3397,0.0129,7.321,0.952,0.825,,,
up_1,late_7_plus,50_55,1471,0.777,0.329,0.2536,0.3426,0.3916,0.329,0.9667,0.958,0.833,0.871,,,
up_2,late_7_plus,50_55,1283,0.8862,0.1707,0.1255,0.2899,0.3515,0.2938,0.2938,1.969,0.791,0.811,,,
up_1,f5_1_5,50_55,1234,0.671,0.5543,0.4165,0.3744,0.5324,0.4206,0.9692,1.248,1.432,1.271,,,
up_1,early_1_3,45_50,1195,0.6017,0.6477,0.5113,0.4209,0.5665,0.4477,0.9506,1.059,1.447,1.365,,,
up_1,late_7_plus,45_50,1099,0.7962,0.2866,0.2439,0.3039,0.3412,0.2866,0.9736,0.929,0.715,0.806,,,
up_5_plus,late_7_plus,45_50,1026,0.9961,0.0078,0.0039,0.3743,0.4318,0.3704,0.0292,6.747,0.737,0.928,,,
up_2,early_1_3,50_55,939,0.721,0.4888,0.3706,0.4388,0.5911,0.4867,0.4867,2.406,1.608,1.378,,,
up_2,f5_1_5,50_55,933,0.7428,0.4202,0.3215,0.4362,0.5927,0.4791,0.4791,2.154,1.4,1.505,,,
up_3,late_7_plus,50_55,909,0.9461,0.0957,0.0594,0.3355,0.3883,0.3102,0.1595,3.087,0.887,0.807,,,
up_1,f5_1_5,45_50,907,0.6615,0.5634,0.4487,0.4157,0.5579,0.4432,0.9724,0.917,1.499,1.331,,,
