game_pk,game_date,game_id,away_abbr,home_abbr,f5_away,f5_home,f5_total,post5_runs,full_total,f5_low_0_3,f5_high_6_plus,post5_high_4_plus,full_over_8_5_proxy,f5_low_then_full_over_proxy,f5_high_then_stall_proxy
718780,2023-03-30,ATL@WSN,ATL,WSN,4,2,6,3,9,0,1,0,1,0,0
718781,2023-03-30,SF@NYY,SF,NYY,0,3,3,2,5,1,0,0,0,0,0
718782,2023-03-30,BAL@BOS,BAL,BOS,8,2,10,9,19,0,1,1,1,0,0
718777,2023-03-30,MIL@CHC,MIL,CHC,0,4,4,0,4,0,0,0,0,0,0
718776,2023-03-30,DET@TB,DET,TB,0,1,1,3,4,1,0,0,0,0,0
718779,2023-03-30,PHI@TEX,PHI,TEX,6,11,17,1,18,0,1,0,1,0,1
718772,2023-03-30,TOR@STL,TOR,STL,5,5,10,9,19,0,1,1,1,0,0
718773,2023-03-30,PIT@CIN,PIT,CIN,4,4,8,1,9,0,1,0,1,0,1
718774,2023-03-30,NYM@MIA,NYM,MIA,1,0,1,7,8,1,0,1,0,0,0
718775,2023-03-30,MIN@KC,MIN,KC,0,0,0,2,2,1,0,0,0,0,0
718768,2023-03-30,CWS@HOU,CWS,HOU,0,0,0,5,5,1,0,1,0,0,0
718778,2023-03-30,COL@SD,COL,SD,4,2,6,3,9,0,1,0,1,0,0
718769,2023-03-30,LAA@ATH,LAA,ATH,1,0,1,2,3,1,0,0,0,0,0
718767,2023-03-30,CLE@SEA,CLE,SEA,0,0,0,3,3,1,0,0,0,0,0
718770,2023-03-30,AZ@LAD,AZ,LAD,2,5,7,3,10,0,1,0,1,0,0
718771,2023-03-31,NYM@MIA,NYM,MIA,0,1,1,2,3,1,0,0,0,0,0
718764,2023-03-31,CWS@HOU,CWS,HOU,1,0,1,8,9,1,0,1,1,1,0
718766,2023-03-31,COL@SD,COL,SD,4,0,4,1,5,0,0,0,0,0,0
718763,2023-03-31,CLE@SEA,CLE,SEA,8,4,12,1,13,0,1,0,1,0,1
718765,2023-03-31,AZ@LAD,AZ,LAD,0,0,0,3,3,1,0,0,0,0,0
718760,2023-04-01,CWS@HOU,CWS,HOU,3,3,6,4,10,0,1,1,1,0,0
718759,2023-04-01,TOR@STL,TOR,STL,0,3,3,2,5,1,0,0,0,0,0
718758,2023-04-01,MIL@CHC,MIL,CHC,0,0,0,4,4,1,0,1,0,0,0
718752,2023-04-01,PHI@TEX,PHI,TEX,3,7,10,9,19,0,1,1,1,0,0
718753,2023-04-01,ATL@WSN,ATL,WSN,5,0,5,3,8,0,0,0,0,0,0
718762,2023-04-01,SF@NYY,SF,NYY,3,3,6,6,12,0,1,1,1,0,0
