inning_bucket,offense_form_bucket,count,scored_next_1_inning_rate,scored_next_2_innings_rate,eventually_won_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
early_1_3,45_50,1738,0.3999,0.5725,0.3084,,,,,,
late_7_plus,45_50,1590,0.2912,0.3585,0.3044,,,,,,
early_1_3,50_55,1567,0.3995,0.5609,0.358,,,,,,
late_7_plus,50_55,1561,0.2889,0.3607,0.3459,,,,,,
f5_1_5,45_50,1189,0.3667,0.5357,0.291,,,,,,
f5_1_5,50_55,1066,0.3856,0.5572,0.349,,,,,,
early_1_3,40_45,1005,0.3602,0.5493,0.2995,,,,,,
late_7_plus,40_45,990,0.3444,0.4101,0.2919,,,,,,
early_1_3,55_60,860,0.4337,0.586,0.3721,,,,,,
late_7_plus,55_60,756,0.2844,0.3638,0.3426,,,,,,
f5_1_5,40_45,676,0.3654,0.5488,0.2973,,,,,,
f5_1_5,55_60,537,0.3613,0.5214,0.298,,,,,,
middle_6,45_50,528,0.3902,0.5701,0.3163,,,,,,
middle_6,50_55,526,0.3745,0.5342,0.3669,,,,,,
early_1_3,60_plus,447,0.4519,0.5906,0.3647,,,,,,
late_7_plus,60_plus,387,0.3282,0.3979,0.385,,,,,,
middle_6,40_45,379,0.343,0.4855,0.3008,,,,,,
late_7_plus,lt_40,333,0.3063,0.3544,0.2823,,,,,,
middle_6,55_60,316,0.3038,0.5285,0.2943,,,,,,
early_1_3,lt_40,311,0.3151,0.4662,0.2637,,,,,,
f5_1_5,60_plus,303,0.4224,0.6403,0.4389,,,,,,
f5_1_5,lt_40,216,0.3519,0.5231,0.3009,,,,,,
middle_6,60_plus,142,0.3592,0.5282,0.4225,,,,,,
middle_6,lt_40,112,0.4554,0.6875,0.2768,,,,,,
