deficit_bucket,inning_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_5_plus,middle_6,50_55,364,0.022,0.0302,0.0247,0.4533,0.6648,0.4918,0.0192,-7.107,1.316,1.56,,,
down_5_plus,middle_6,45_50,352,0.017,0.0341,0.0199,0.429,0.6023,0.4744,0.0511,-6.449,1.582,1.543,,,
down_2,middle_6,45_50,346,0.1647,0.2803,0.1965,0.3988,0.5318,0.396,0.396,-2.156,1.208,1.474,,,
down_4,f5_1_5,45_50,346,0.078,0.159,0.0925,0.4624,0.6272,0.5058,0.1185,-4.448,1.416,1.564,,,
down_3,late_7_plus,40_45,339,0.0649,0.1209,0.0767,0.3569,0.413,0.3628,0.1681,-2.85,0.867,0.684,,,
down_1,early_1_3,60_plus,306,0.3366,0.6438,0.4412,0.402,0.5163,0.4314,0.9379,-1.915,1.216,1.448,,,
down_1,late_7_plus,lt_40,299,0.3278,0.4147,0.3779,0.3746,0.4381,0.4147,0.9833,-0.435,1.147,0.615,,,
down_1,middle_6,55_60,289,0.3183,0.4567,0.3495,0.3875,0.5225,0.4152,0.9792,-1.218,1.263,1.626,,,
down_4,f5_1_5,50_55,289,0.0865,0.1453,0.1003,0.4221,0.5779,0.4706,0.1211,-4.301,1.356,1.619,,,
down_3,early_1_3,55_60,288,0.2153,0.3542,0.2465,0.4167,0.566,0.4514,0.2188,-3.153,1.333,1.719,,,
down_5_plus,f5_1_5,40_45,286,0.049,0.0734,0.049,0.3112,0.5245,0.3846,0.0455,-6.385,1.129,1.598,,,
down_2,f5_1_5,40_45,282,0.266,0.4468,0.3262,0.4326,0.5603,0.4574,0.4574,-1.734,1.411,1.383,,,
down_3,f5_1_5,40_45,282,0.2234,0.3262,0.266,0.383,0.5355,0.4539,0.3298,-2.589,1.433,1.333,,,
down_3,middle_6,45_50,282,0.1206,0.1738,0.1348,0.4255,0.5638,0.4504,0.2234,-3.138,1.252,1.496,,,
down_4,early_1_3,45_50,272,0.1029,0.1728,0.1287,0.4118,0.5515,0.4669,0.1912,-4.272,1.397,1.404,,,
down_3,middle_6,50_55,271,0.1033,0.1956,0.1218,0.3875,0.5424,0.417,0.2657,-3.118,1.284,1.594,,,
down_3,f5_1_5,55_60,268,0.1828,0.2985,0.209,0.459,0.5933,0.4776,0.2612,-3.157,1.25,1.478,,,
down_1,middle_6,40_45,251,0.2629,0.4183,0.3147,0.3586,0.5299,0.3865,0.9841,-1.191,1.331,1.402,,,
down_4,late_7_plus,40_45,249,0.0361,0.0562,0.0402,0.3293,0.4096,0.3052,0.1044,-3.956,0.88,0.835,,,
down_5_plus,late_7_plus,lt_40,247,0.0,0.0,0.0,0.2632,0.332,0.2632,0.0,-7.453,0.583,0.765,,,
down_5_plus,middle_6,55_60,247,0.0324,0.0405,0.0324,0.4211,0.5587,0.4453,0.0486,-7.093,1.32,1.757,,,
down_5_plus,early_1_3,50_55,243,0.1193,0.1399,0.1276,0.4198,0.5514,0.465,0.1193,-6.074,1.506,1.671,,,
down_3,early_1_3,40_45,235,0.2809,0.3745,0.3277,0.3574,0.5191,0.366,0.2085,-2.638,1.047,1.545,,,
down_5_plus,early_1_3,45_50,233,0.0558,0.1373,0.0944,0.4936,0.6953,0.4979,0.0558,-5.747,1.442,1.464,,,
down_1,f5_1_5,lt_40,228,0.4035,0.5833,0.5044,0.4474,0.6316,0.4123,0.9693,-0.487,1.654,1.539,,,
down_2,middle_6,55_60,222,0.2342,0.3378,0.2973,0.3694,0.518,0.4234,0.4234,-1.86,1.405,1.378,,,
down_4,early_1_3,50_55,218,0.1606,0.2569,0.2064,0.4771,0.6193,0.4725,0.1972,-4.578,1.619,1.702,,,
down_1,late_7_plus,60_plus,217,0.2535,0.341,0.2535,0.3641,0.4009,0.341,0.9724,-0.797,0.922,0.737,,,
down_4,f5_1_5,55_60,203,0.0985,0.1626,0.1133,0.399,0.532,0.4236,0.1675,-4.389,1.399,1.665,,,
down_4,middle_6,45_50,200,0.05,0.095,0.06,0.465,0.58,0.425,0.095,-4.26,1.23,1.695,,,
down_2,early_1_3,lt_40,195,0.4103,0.5846,0.4718,0.4872,0.6513,0.5128,0.5128,-1.221,1.779,1.651,,,
down_2,early_1_3,60_plus,188,0.1915,0.367,0.2606,0.3351,0.4415,0.3404,0.3404,-3.585,1.218,1.628,,,
down_1,f5_1_5,60_plus,183,0.388,0.5956,0.4645,0.3388,0.5027,0.4044,0.9617,-1.186,1.29,1.574,,,
down_5_plus,middle_6,40_45,183,0.0219,0.0437,0.0273,0.3497,0.5519,0.4372,0.0437,-6.437,1.268,1.355,,,
down_2,late_7_plus,lt_40,182,0.1374,0.2418,0.1813,0.3736,0.4505,0.3736,0.3736,-1.819,0.962,0.846,,,
down_5_plus,early_1_3,55_60,176,0.0057,0.0057,0.0057,0.3125,0.4886,0.392,0.0114,-7.415,0.92,1.733,,,
down_2,f5_1_5,lt_40,173,0.3179,0.474,0.3757,0.5029,0.6243,0.5665,0.5665,-1.289,1.734,1.197,,,
down_4,middle_6,50_55,170,0.0765,0.0882,0.0824,0.4471,0.5882,0.4706,0.1824,-4.0,1.394,1.435,,,
down_3,late_7_plus,lt_40,157,0.051,0.0764,0.0701,0.3248,0.3631,0.2739,0.1911,-2.726,0.758,0.465,,,
down_3,middle_6,55_60,157,0.1529,0.1911,0.172,0.3885,0.535,0.4331,0.2484,-2.898,1.274,1.204,,,
down_4,f5_1_5,40_45,156,0.1603,0.1923,0.1859,0.3654,0.4872,0.3974,0.2051,-3.577,1.372,1.314,,,
down_2,late_7_plus,60_plus,155,0.0839,0.1355,0.0839,0.3226,0.3677,0.2839,0.2839,-2.065,0.723,0.774,,,
down_4,early_1_3,55_60,153,0.1503,0.2288,0.1699,0.4314,0.549,0.3725,0.183,-4.007,1.418,1.745,,,
down_3,middle_6,40_45,150,0.1867,0.2667,0.2133,0.4333,0.6067,0.5133,0.3267,-2.56,1.767,1.393,,,
down_4,late_7_plus,60_plus,148,0.0203,0.0203,0.0203,0.4392,0.5405,0.3108,0.0541,-4.068,0.845,0.912,,,
down_2,middle_6,40_45,139,0.2806,0.3525,0.2878,0.4173,0.6187,0.518,0.518,-1.309,1.791,1.115,,,
down_4,late_7_plus,lt_40,137,0.0146,0.0292,0.0146,0.2774,0.3358,0.3139,0.0803,-3.898,0.679,0.577,,,
down_5_plus,f5_1_5,lt_40,136,0.0515,0.1176,0.1176,0.3603,0.5147,0.5074,0.1471,-6.61,1.713,1.412,,,
down_2,f5_1_5,60_plus,134,0.0896,0.2388,0.1343,0.3284,0.4254,0.2836,0.2836,-3.903,0.888,2.231,,,
down_4,early_1_3,40_45,134,0.1567,0.2313,0.1642,0.4179,0.5672,0.3881,0.2015,-3.709,1.299,1.388,,,
down_4,middle_6,55_60,132,0.0682,0.0909,0.0833,0.3409,0.4621,0.3485,0.1212,-4.167,1.114,1.409,,,
down_3,late_7_plus,60_plus,131,0.0611,0.0763,0.0611,0.3053,0.374,0.1908,0.1145,-3.481,0.679,1.176,,,
down_3,f5_1_5,lt_40,129,0.1938,0.2558,0.2171,0.4806,0.6512,0.5349,0.3333,-2.55,1.496,1.465,,,
down_5_plus,early_1_3,40_45,128,0.0,0.0312,0.0,0.4688,0.6484,0.5078,0.0156,-6.578,1.109,1.469,,,
down_5_plus,f5_1_5,60_plus,122,0.0164,0.0164,0.0164,0.3934,0.4672,0.3443,0.0246,-7.672,0.877,1.943,,,
down_3,early_1_3,lt_40,117,0.359,0.4786,0.4359,0.4701,0.6239,0.547,0.4188,-2.12,2.111,1.521,,,
down_3,f5_1_5,60_plus,114,0.0702,0.1579,0.0702,0.3772,0.5088,0.3772,0.2193,-3.912,1.096,1.404,,,
down_1,middle_6,lt_40,110,0.4545,0.5545,0.5182,0.3909,0.5636,0.4545,0.9818,-0.4,1.482,1.055,,,
down_5_plus,middle_6,60_plus,102,0.0,0.0,0.0,0.3235,0.451,0.3137,0.0294,-8.059,0.833,2.118,,,
down_3,early_1_3,60_plus,98,0.1327,0.2959,0.2041,0.5102,0.6327,0.4898,0.2347,-3.622,1.52,1.541,,,
down_2,middle_6,lt_40,92,0.2609,0.4457,0.337,0.4457,0.6196,0.5326,0.5326,-1.565,1.641,1.402,,,
down_4,f5_1_5,60_plus,91,0.0989,0.1099,0.0989,0.2637,0.4286,0.3626,0.044,-4.824,0.89,1.418,,,
