deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_1,early_1_3,50_55,1900,0.4105,0.6695,0.5221,0.4153,0.5674,0.4579,0.9605,-0.875,1.439,1.452,,,
down_5_plus,late_7_plus,50_55,1505,0.0027,0.006,0.0047,0.3787,0.4425,0.3787,0.0246,-6.825,0.849,0.751,,,
down_1,late_7_plus,50_55,1428,0.2101,0.3298,0.2367,0.3354,0.388,0.3298,0.9734,-0.972,0.811,0.765,,,
down_1,early_1_3,45_50,1297,0.3878,0.6307,0.5081,0.4032,0.5482,0.4179,0.9584,-1.399,1.315,1.493,,,
down_1,f5_1_5,50_55,1249,0.4075,0.6261,0.4868,0.4347,0.6021,0.4876,0.9712,-0.652,1.515,1.323,,,
down_5_plus,late_7_plus,45_50,1237,0.0105,0.0137,0.0105,0.3226,0.3719,0.291,0.0154,-7.243,0.821,0.974,,,
down_2,late_7_plus,50_55,1172,0.1084,0.1681,0.1229,0.3362,0.4019,0.3379,0.3379,-1.827,0.872,0.697,,,
down_1,late_7_plus,45_50,1064,0.2716,0.3741,0.312,0.3853,0.4286,0.3741,0.9756,-0.813,0.983,0.82,,,
down_2,early_1_3,50_55,1007,0.3456,0.5084,0.4032,0.3992,0.5869,0.4846,0.4846,-1.563,1.51,1.291,,,
down_2,f5_1_5,50_55,977,0.2631,0.4166,0.3214,0.4688,0.609,0.479,0.479,-1.816,1.552,1.395,,,
down_1,f5_1_5,45_50,880,0.35,0.575,0.4398,0.3955,0.5466,0.4443,0.9773,-1.159,1.322,1.484,,,
down_3,late_7_plus,50_55,862,0.0557,0.0789,0.0568,0.3434,0.3956,0.319,0.181,-2.838,0.847,0.691,,,
down_2,late_7_plus,45_50,852,0.1291,0.1854,0.1479,0.3439,0.4038,0.3275,0.3275,-1.873,0.87,0.763,,,
down_2,early_1_3,45_50,762,0.2598,0.4987,0.3727,0.4147,0.5486,0.4488,0.4488,-2.444,1.331,1.462,,,
down_4,late_7_plus,50_55,744,0.0242,0.0323,0.0242,0.3414,0.4046,0.3011,0.086,-3.809,0.837,0.642,,,
down_3,late_7_plus,45_50,653,0.0628,0.1103,0.072,0.3216,0.3859,0.2986,0.1623,-3.006,0.861,0.861,,,
down_1,early_1_3,55_60,638,0.4279,0.6364,0.5611,0.4326,0.5643,0.442,0.9498,-0.831,1.475,1.79,,,
down_3,f5_1_5,50_55,635,0.1827,0.2929,0.2126,0.4126,0.5669,0.4693,0.2772,-2.813,1.351,1.496,,,
down_5_plus,late_7_plus,40_45,634,0.0079,0.0079,0.0079,0.418,0.4653,0.4038,0.0252,-7.334,1.019,0.863,,,
down_3,early_1_3,50_55,632,0.2405,0.4035,0.2943,0.4351,0.5791,0.4557,0.2848,-2.479,1.443,1.457,,,
