inning,scoring_events,total_runs
1,2032,2651
2,1843,2411
3,2053,2692
4,2013,2595
5,1974,2551
6,2003,2602
7,1917,2501
8,1885,2454
9,1372,1764
10,313,392
11,89,110
12,27,31
13,10,10
14,4,4
