lead_bucket,inning_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_1,early_1_3,5257,0.6173,0.6371,0.5106,0.4141,0.5632,0.4392,0.9583,1.244,1.546,1.4,,,
up_5_plus,late_7_plus,4855,0.9946,0.0072,0.006,0.3574,0.4122,0.3429,0.0185,7.102,0.839,0.823,,,
up_1,late_7_plus,4144,0.7734,0.3313,0.2599,0.3448,0.3924,0.3313,0.9718,0.918,0.796,0.877,,,
up_1,f5_1_5,3577,0.6472,0.5801,0.4476,0.4082,0.5639,0.4507,0.9723,1.059,1.445,1.362,,,
up_2,late_7_plus,3321,0.8814,0.174,0.1328,0.3342,0.3927,0.3219,0.3219,1.886,0.764,0.872,,,
up_2,early_1_3,2917,0.7011,0.505,0.3949,0.432,0.5883,0.4758,0.4758,2.078,1.491,1.467,,,
up_2,f5_1_5,2652,0.7534,0.4163,0.3126,0.4427,0.592,0.4729,0.4729,2.101,1.452,1.447,,,
up_3,late_7_plus,2579,0.9387,0.0954,0.0682,0.3373,0.3889,0.3075,0.1706,2.941,0.777,0.836,,,
up_4,late_7_plus,2125,0.9755,0.0381,0.0278,0.3233,0.3751,0.2894,0.0776,3.978,0.748,0.772,,,
up_5_plus,f5_1_5,1901,0.9605,0.0631,0.0489,0.3924,0.5692,0.4477,0.0568,6.724,1.583,1.375,,,
up_3,f5_1_5,1832,0.8264,0.2735,0.2047,0.4099,0.5617,0.4481,0.2702,3.07,1.455,1.318,,,
up_3,early_1_3,1690,0.774,0.3657,0.2852,0.4385,0.5964,0.458,0.2817,2.845,1.544,1.49,,,
up_1,middle_6,1639,0.6705,0.5095,0.4002,0.3905,0.5503,0.446,0.975,0.988,1.375,1.317,,,
up_5_plus,middle_6,1330,0.9805,0.0331,0.0241,0.4113,0.5887,0.4549,0.0406,6.898,1.595,1.342,,,
up_2,middle_6,1240,0.8016,0.3056,0.2387,0.3903,0.5379,0.4323,0.4323,1.955,1.394,1.352,,,
up_4,f5_1_5,1143,0.9029,0.1557,0.112,0.4156,0.5608,0.4558,0.1382,4.316,1.562,1.372,,,
up_3,middle_6,981,0.8695,0.1978,0.1498,0.4149,0.5668,0.4506,0.2589,2.998,1.457,1.344,,,
up_5_plus,early_1_3,921,0.9359,0.1042,0.0858,0.4332,0.6113,0.4734,0.0543,6.417,1.574,1.317,,,
up_4,early_1_3,914,0.8589,0.2144,0.1674,0.4344,0.57,0.4431,0.1915,4.202,1.516,1.46,,,
up_4,middle_6,684,0.9254,0.1038,0.0863,0.4108,0.5468,0.424,0.1389,4.067,1.532,1.278,,,
