deficit_bucket,inning_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_5_plus,late_7_plus,50_55,1701,0.0,0.0065,0.0065,0.3363,0.3968,0.3145,0.0118,-6.972,0.818,0.719,,,
down_1,early_1_3,50_55,1623,0.3401,0.6254,0.4898,0.3968,0.5379,0.4134,0.9556,-1.571,1.223,1.49,,,
down_1,early_1_3,45_50,1362,0.3833,0.6307,0.5007,0.3891,0.5477,0.4449,0.9618,-0.713,1.427,1.379,,,
down_1,late_7_plus,50_55,1273,0.2262,0.3024,0.2506,0.3229,0.3731,0.3024,0.9764,-0.868,0.827,0.709,,,
down_1,f5_1_5,50_55,1166,0.3456,0.5669,0.4177,0.3885,0.5523,0.4374,0.9803,-1.206,1.262,1.431,,,
down_1,late_7_plus,45_50,1103,0.2121,0.3246,0.2276,0.3427,0.3935,0.3246,0.971,-0.944,0.817,0.772,,,
down_5_plus,late_7_plus,45_50,1074,0.0047,0.0084,0.0047,0.3194,0.3669,0.3073,0.0242,-6.623,0.756,0.796,,,
down_5_plus,late_7_plus,55_60,1033,0.0019,0.0019,0.0019,0.3233,0.3582,0.3098,0.0261,-6.824,0.789,0.65,,,
down_2,late_7_plus,50_55,1010,0.1129,0.1416,0.1208,0.3337,0.395,0.3168,0.3168,-1.908,0.756,0.68,,,
down_1,early_1_3,55_60,988,0.3441,0.585,0.4261,0.4109,0.5294,0.4049,0.9494,-1.596,1.233,1.588,,,
down_1,f5_1_5,45_50,925,0.3124,0.5632,0.4173,0.4022,0.5492,0.4292,0.9762,-1.085,1.363,1.238,,,
down_2,early_1_3,50_55,879,0.2582,0.463,0.3538,0.3902,0.5415,0.4312,0.4312,-2.659,1.246,1.519,,,
down_2,late_7_plus,45_50,879,0.1297,0.1832,0.1388,0.3276,0.3891,0.3174,0.3174,-1.987,0.811,0.818,,,
down_3,late_7_plus,50_55,846,0.0402,0.0626,0.0496,0.3345,0.3948,0.3227,0.1383,-3.046,0.703,0.758,,,
