avg_final_margin,avg_next_2_innings_opp_runs,avg_next_2_innings_team_runs,count,deficit_bucket,eventually_won_rate,gave_up_tie_or_lead_rate,held_to_win_rate,inning_bucket,lead_bucket,lead_cut_to_1_next_2_rate,lead_reduced_next_2_rate,note,offense_form_bucket,opponent_run_prevention_bucket,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,opponent_took_lead_later_rate,reduced_deficit_next_2_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,source,team_strength_bucket,tied_or_led_later_rate,took_lead_later_rate,within_1_next_2_rate
1.248,1.308,1.478,5340,,,0.6305,0.6382,early_1_3,up_1,0.9541,0.4255,leader_under_pressure,,,0.3964,0.5468,0.4843,,,,lead_protection_by_lead_inning.csv,,,,
-1.248,1.478,1.308,5340,down_1,0.3575,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4255,0.3964,0.5468,comeback_by_deficit_inning.csv,,0.6305,0.4843,0.9541
0.868,0.897,0.772,4150,,,0.3383,0.7598,late_7_plus,up_1,0.974,0.3383,lead_collapse_watch,,,0.3525,0.4051,0.2547,,,,lead_protection_by_lead_inning.csv,,,,
1.137,1.331,1.398,3704,,,0.5702,0.6547,f5_1_5,up_1,0.9754,0.4355,leader_under_pressure,,,0.4023,0.5664,0.4271,,,,lead_protection_by_lead_inning.csv,,,,
-1.137,1.398,1.331,3704,down_1,0.3386,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4355,0.4023,0.5664,comeback_by_deficit_inning.csv,,0.5702,0.4271,0.9754
2.34,1.283,1.462,3030,,,0.4502,0.7429,early_1_3,up_2,0.4145,0.4145,leader_under_pressure,,,0.3835,0.5419,0.3376,,,,lead_protection_by_lead_inning.csv,,,,
-2.34,1.462,1.283,3030,down_2,0.2554,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4145,0.3835,0.5419,comeback_by_deficit_inning.csv,,0.4502,0.3376,0.4145
2.326,1.211,1.482,2806,,,0.3553,0.7744,f5_1_5,up_2,0.4195,0.4195,leader_under_pressure,,,0.3813,0.5474,0.2776,,,,lead_protection_by_lead_inning.csv,,,,
3.444,1.257,1.567,1931,,,0.2258,0.8674,f5_1_5,up_3,0.2496,0.4247,leader_under_pressure,,,0.392,0.5298,0.1605,,,,lead_protection_by_lead_inning.csv,,,,
6.3,1.243,1.494,1894,,,0.0692,0.9498,f5_1_5,up_5_plus,0.0533,0.4197,leader_under_pressure,,,0.3685,0.5148,0.0597,,,,lead_protection_by_lead_inning.csv,,,,
1.462,1.224,1.498,1673,,,0.6276,0.6449,early_1_3,up_1,0.9564,0.3981,leader_under_pressure,,,0.3652,0.5206,0.4877,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
3.449,1.277,1.572,1634,,,0.2803,0.8237,early_1_3,up_3,0.2301,0.4278,leader_under_pressure,,,0.4002,0.5532,0.2118,,,,lead_protection_by_lead_inning.csv,,,,
-3.449,1.572,1.277,1634,down_3,0.1707,,,early_1_3,,,,high_score_next_2_rebound,,,,,,0.4278,0.4002,0.5532,comeback_by_deficit_inning.csv,,0.2803,0.2118,0.2301
-1.571,1.49,1.223,1623,down_1,0.3401,,,early_1_3,,,,high_tie_or_lead_rebound,,50_55,,,,0.4134,0.3968,0.5379,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.6254,0.4898,0.9556
0.944,1.302,1.323,1608,,,0.51,0.658,middle_6,up_1,0.9826,0.449,leader_under_pressure,,,0.3943,0.5647,0.3968,,,,lead_protection_by_lead_inning.csv,,,,
-0.944,1.323,1.302,1608,down_1,0.3346,,,middle_6,,,,high_tie_or_lead_rebound,,,,,,0.449,0.3943,0.5647,comeback_by_deficit_inning.csv,,0.51,0.3968,0.9826
1.13,1.377,1.454,1583,,,0.6374,0.6361,early_1_3,up_1,0.9514,0.4542,leader_under_pressure,,,0.4188,0.5698,0.4738,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
-1.344,1.52,1.248,1563,down_1,0.3448,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4063,0.3781,0.5304,comeback_by_deficit_inning_strength.csv,45_50,0.6116,0.4766,0.9475
-1.12,1.335,1.301,1483,down_1,0.3715,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4255,0.3837,0.5327,comeback_by_deficit_inning_strength.csv,50_55,0.646,0.4916,0.9548
6.606,1.227,1.443,1412,,,0.0269,0.9816,middle_6,up_5_plus,0.0276,0.4256,leader_under_pressure,,,0.3817,0.5163,0.0227,,,,lead_protection_by_lead_inning.csv,,,,
-0.713,1.379,1.427,1362,down_1,0.3833,,,early_1_3,,,,high_tie_or_lead_rebound,,45_50,,,,0.4449,0.3891,0.5477,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.6307,0.5007,0.9618
2.007,1.288,1.447,1291,,,0.3238,0.7885,middle_6,up_2,0.4547,0.4547,leader_under_pressure,,,0.4361,0.5655,0.2455,,,,lead_protection_by_lead_inning.csv,,,,
-2.007,1.447,1.288,1291,down_2,0.206,,,middle_6,,,,high_score_next_2_rebound,,,,,,0.4547,0.4361,0.5655,comeback_by_deficit_inning.csv,,0.3238,0.2455,0.4547
4.172,1.337,1.459,1221,,,0.1532,0.914,f5_1_5,up_4,0.1507,0.4398,leader_under_pressure,,,0.3931,0.5569,0.1106,,,,lead_protection_by_lead_inning.csv,,,,
-4.172,1.459,1.337,1221,down_4,0.0844,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4398,0.3931,0.5569,comeback_by_deficit_inning.csv,,0.1532,0.1106,0.1507
-1.206,1.431,1.262,1166,down_1,0.3456,,,f5_1_5,,,,high_tie_or_lead_rebound,,50_55,,,,0.4374,0.3885,0.5523,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5669,0.4177,0.9803
-1.199,1.389,1.305,1161,down_1,0.3204,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4384,0.4074,0.5797,comeback_by_deficit_inning_strength.csv,45_50,0.5711,0.4264,0.9759
1.298,1.396,1.461,1155,,,0.5688,0.6693,f5_1_5,up_1,0.9732,0.4623,leader_under_pressure,,,0.4312,0.5913,0.4381,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
0.976,0.889,0.878,1148,,,0.3066,0.7918,late_7_plus,up_1,0.9721,0.3066,lead_collapse_watch,,,0.3528,0.3972,0.2282,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
1.076,1.262,1.353,1128,,,0.5532,0.6543,f5_1_5,up_1,0.9725,0.4176,leader_under_pressure,,,0.3865,0.5443,0.4069,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
-1.096,1.395,1.386,1061,down_1,0.3468,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4185,0.4166,0.5815,comeback_by_deficit_inning_strength.csv,50_55,0.5401,0.4175,0.9755
3.127,1.195,1.467,1020,,,0.1539,0.902,middle_6,up_3,0.2392,0.4275,leader_under_pressure,,,0.4118,0.5363,0.1206,,,,lead_protection_by_lead_inning.csv,,,,
-1.596,1.588,1.233,988,down_1,0.3441,,,early_1_3,,,,high_tie_or_lead_rebound,,55_60,,,,0.4049,0.4109,0.5294,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.585,0.4261,0.9494
-2.09,1.295,1.266,951,down_2,0.2787,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4196,0.3628,0.5289,comeback_by_deficit_inning_strength.csv,45_50,0.4911,0.3849,0.4196
-1.085,1.238,1.363,925,down_1,0.3124,,,f5_1_5,,,,high_tie_or_lead_rebound,,45_50,,,,0.4292,0.4022,0.5492,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5632,0.4173,0.9762
-2.108,1.421,1.376,923,down_2,0.2286,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4442,0.3944,0.5796,comeback_by_deficit_inning_strength.csv,45_50,0.3911,0.3044,0.4442
2.209,1.308,1.413,915,,,0.4689,0.7377,early_1_3,up_2,0.4197,0.4197,leader_under_pressure,,,0.3814,0.5563,0.3432,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
2.577,1.227,1.44,885,,,0.4102,0.7672,early_1_3,up_2,0.3921,0.3921,leader_under_pressure,,,0.3695,0.5028,0.3198,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
1.932,1.228,1.611,879,,,0.554,0.7224,early_1_3,up_1,0.9602,0.3982,leader_under_pressure,,,0.3857,0.5154,0.4187,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-2.659,1.519,1.246,879,down_2,0.2582,,,early_1_3,,,,high_tie_or_lead_rebound,,50_55,,,,0.4312,0.3902,0.5415,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.463,0.3538,0.4312
2.353,1.175,1.447,850,,,0.3271,0.8082,f5_1_5,up_2,0.3871,0.3871,leader_under_pressure,,,0.3906,0.5306,0.2518,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
