deficit_bucket,inning_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_1,early_1_3,5340,0.3575,0.6305,0.4843,0.3964,0.5468,0.4255,0.9541,-1.248,1.308,1.478,,,
down_5_plus,late_7_plus,5053,0.0073,0.0113,0.0095,0.3275,0.3794,0.3137,0.0263,-6.782,0.819,0.723,,,
down_1,late_7_plus,4150,0.232,0.3383,0.2547,0.3525,0.4051,0.3383,0.974,-0.868,0.897,0.772,,,
down_1,f5_1_5,3704,0.3386,0.5702,0.4271,0.4023,0.5664,0.4355,0.9754,-1.137,1.331,1.398,,,
down_2,late_7_plus,3327,0.1214,0.1776,0.1335,0.3408,0.3956,0.3267,0.3267,-1.92,0.849,0.779,,,
down_2,early_1_3,3030,0.2554,0.4502,0.3376,0.3835,0.5419,0.4145,0.4145,-2.34,1.283,1.462,,,
down_2,f5_1_5,2806,0.2217,0.3553,0.2776,0.3813,0.5474,0.4195,0.4195,-2.326,1.211,1.482,,,
down_3,late_7_plus,2744,0.0466,0.0678,0.0521,0.3287,0.3812,0.32,0.1396,-3.009,0.738,0.747,,,
down_4,late_7_plus,2139,0.0276,0.0383,0.0299,0.323,0.3806,0.3249,0.0827,-3.992,0.78,0.772,,,
down_3,f5_1_5,1931,0.13,0.2258,0.1605,0.392,0.5298,0.4247,0.2496,-3.444,1.257,1.567,,,
down_5_plus,f5_1_5,1894,0.0491,0.0692,0.0597,0.3685,0.5148,0.4197,0.0533,-6.3,1.243,1.494,,,
down_3,early_1_3,1634,0.1707,0.2803,0.2118,0.4002,0.5532,0.4278,0.2301,-3.449,1.277,1.572,,,
down_1,middle_6,1608,0.3346,0.51,0.3968,0.3943,0.5647,0.449,0.9826,-0.944,1.302,1.323,,,
down_5_plus,middle_6,1412,0.0184,0.0269,0.0227,0.3817,0.5163,0.4256,0.0276,-6.606,1.227,1.443,,,
down_2,middle_6,1291,0.206,0.3238,0.2455,0.4361,0.5655,0.4547,0.4547,-2.007,1.288,1.447,,,
down_4,f5_1_5,1221,0.0844,0.1532,0.1106,0.3931,0.5569,0.4398,0.1507,-4.172,1.337,1.459,,,
down_3,middle_6,1020,0.098,0.1539,0.1206,0.4118,0.5363,0.4275,0.2392,-3.127,1.195,1.467,,,
down_5_plus,early_1_3,822,0.1071,0.135,0.1229,0.4161,0.573,0.4672,0.0389,-6.035,1.398,1.476,,,
down_4,early_1_3,803,0.1146,0.1918,0.1532,0.3873,0.5268,0.4247,0.1108,-4.423,1.217,1.513,,,
down_4,middle_6,724,0.0691,0.1077,0.076,0.4268,0.5359,0.4448,0.1367,-4.128,1.236,1.384,,,
