lead_bucket,inning_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_4,f5_1_5,45_50,353,0.9292,0.1246,0.085,0.4193,0.5722,0.4476,0.1218,3.89,1.306,1.221,,,
up_4,late_7_plus,55_60,328,0.9878,0.0244,0.0122,0.3689,0.4482,0.378,0.0823,4.076,0.924,0.835,,,
up_5_plus,f5_1_5,55_60,327,0.9511,0.0612,0.0489,0.2844,0.4495,0.3761,0.0459,6.541,1.492,0.93,,,
up_3,f5_1_5,55_60,322,0.882,0.1988,0.146,0.3354,0.4472,0.3727,0.2453,3.823,1.78,1.134,,,
up_1,f5_1_5,lt_40,318,0.544,0.673,0.5189,0.3931,0.5786,0.4811,0.9906,0.167,1.126,1.39,,,
up_1,late_7_plus,60_plus,314,0.7325,0.3981,0.2675,0.3726,0.4427,0.3981,0.9809,0.92,0.831,0.857,,,
up_3,middle_6,45_50,308,0.9188,0.1201,0.0909,0.3799,0.5162,0.3961,0.2013,3.159,1.416,1.062,,,
up_2,late_7_plus,40_45,303,0.8878,0.1716,0.1254,0.3399,0.3927,0.3201,0.3201,1.825,0.683,0.848,,,
up_5_plus,early_1_3,50_55,303,0.8977,0.1287,0.1287,0.4257,0.538,0.4026,0.0297,6.419,1.554,1.343,,,
up_3,middle_6,50_55,301,0.9136,0.1495,0.1296,0.4153,0.5216,0.4385,0.2226,3.309,1.439,1.146,,,
up_1,f5_1_5,40_45,294,0.5918,0.6224,0.5136,0.432,0.619,0.4558,0.9762,0.864,1.415,1.418,,,
up_3,early_1_3,55_60,281,0.8327,0.2918,0.1957,0.3915,0.5338,0.4093,0.2206,4.178,1.722,1.128,,,
up_5_plus,middle_6,55_60,270,0.9889,0.0259,0.0111,0.3667,0.5444,0.4148,0.0222,6.667,1.459,1.167,,,
up_2,early_1_3,40_45,257,0.7549,0.4358,0.2918,0.3969,0.537,0.3813,0.3813,2.125,1.588,1.405,,,
up_1,f5_1_5,60_plus,252,0.6032,0.5556,0.4444,0.3889,0.5913,0.4127,0.9683,0.639,1.29,1.52,,,
up_1,middle_6,55_60,246,0.6829,0.5325,0.374,0.3902,0.5732,0.4512,0.9837,1.041,1.289,1.207,,,
up_2,f5_1_5,40_45,244,0.7787,0.3197,0.2787,0.3934,0.5369,0.418,0.418,2.18,1.59,1.357,,,
up_4,early_1_3,50_55,244,0.9057,0.1352,0.127,0.3484,0.4385,0.3402,0.082,5.5,1.918,1.037,,,
up_5_plus,late_7_plus,lt_40,244,0.9508,0.0492,0.0492,0.3074,0.3648,0.3074,0.0492,6.869,0.861,0.898,,,
up_2,early_1_3,lt_40,239,0.5732,0.6444,0.5356,0.3808,0.6151,0.5021,0.5021,0.556,1.159,1.473,,,
up_2,f5_1_5,lt_40,238,0.5462,0.5882,0.4958,0.5126,0.7143,0.5924,0.5924,0.697,1.059,1.521,,,
