game_pk,game_date,game_id,team,opponent,side,inning,inning_bucket,runs_allowed_on_event,team_score_after_allowed,opp_score_after_allowed,margin_after_allowed,scored_next_1_inning,scored_next_2_innings,eventually_won,team_strength_bucket,offense_form_bucket,l10_rpg_bucket
745444,2024-03-20,LAD@SD,LAD,SD,away,3,early_1_3,1,0,1,-1,1,1,1,50_55,50_55,missing
745444,2024-03-20,LAD@SD,SD,LAD,home,4,f5_1_5,1,1,1,0,1,1,0,50_55,50_55,missing
745444,2024-03-20,LAD@SD,LAD,SD,away,4,f5_1_5,1,1,2,-1,0,0,1,50_55,50_55,missing
745444,2024-03-20,LAD@SD,SD,LAD,home,8,late_7_plus,1,2,2,0,0,0,0,50_55,50_55,missing
745444,2024-03-20,LAD@SD,SD,LAD,home,8,late_7_plus,1,2,3,-1,0,0,0,50_55,50_55,missing
745444,2024-03-20,LAD@SD,SD,LAD,home,8,late_7_plus,1,2,4,-2,0,0,0,50_55,50_55,missing
745444,2024-03-20,LAD@SD,SD,LAD,home,8,late_7_plus,1,2,5,-3,0,0,0,50_55,50_55,missing
747885,2024-03-20,TOR@ATL,ATL,TOR,home,1,early_1_3,2,0,2,-2,0,1,1,50_55,50_55,missing
747885,2024-03-20,TOR@ATL,ATL,TOR,home,1,early_1_3,1,0,3,-3,0,1,1,50_55,50_55,missing
747885,2024-03-20,TOR@ATL,ATL,TOR,home,2,early_1_3,1,0,4,-4,1,1,1,50_55,50_55,missing
747885,2024-03-20,TOR@ATL,TOR,ATL,away,3,early_1_3,1,4,1,3,0,1,0,50_55,50_55,missing
747885,2024-03-20,TOR@ATL,ATL,TOR,home,5,f5_1_5,1,1,5,-4,1,1,1,50_55,50_55,missing
747885,2024-03-20,TOR@ATL,TOR,ATL,away,5,f5_1_5,2,5,3,2,0,0,0,50_55,50_55,missing
747885,2024-03-20,TOR@ATL,TOR,ATL,away,5,f5_1_5,1,5,4,1,0,0,0,50_55,50_55,missing
