pitcher_name,event_rows
Pete Fairbanks,249
Seth Halvorsen,248
Jordan Leasure,248
Alex Vesia,248
Pierce Johnson,247
Riley O'Brien,246
Tim Herrin,246
Jonathan Loáisiga,241
DL Hall,240
Aroldis Chapman,240
Nick Mears,240
Yariel Rodríguez,240
Kai-Wei Teng,239
Cole Henry,239
Cole Sands,239
Paxton Schultz,238
Juan Morillo,238
Emilio Pagán,238
Trent Thornton,238
Jackson Rutledge,237
Payton Tolle,236
Yoendrys Gómez,234
Ryan Thompson,234
Angel Zerpa,234
Taylor Clarke,233
Kolby Allard,233
Gabe Speier,232
Kevin Kelly,232
Victor Vodnik,232
Drew Pomeranz,231
Gordon Graceffo,230
Kevin Ginkel,230
Grant Taylor,230
Max Scherzer,230
David Festa,230
Mason Englert,226
Garrett Cleavinger,226
Pablo López,225
Brendon Little,222
Joe Ross,222
Kenley Jansen,220
Caleb Thielbar,220
Daniel Palencia,220
Paul Blackburn,220
Erik Miller,219
Connor Prielipp,218
Hunter Greene,218
Spencer Bivens,218
AJ Blubaugh,217
Yohan Ramírez,216
Bryse Wilson,213
Joey Wentz,213
Brandon Walter,213
Luis García,212
Caleb Ferguson,211
Edwin Uceta,210
Ronny Henriquez,209
Jonathan Bowlan,208
Jason Alexander,208
Cionel Pérez,207
Rhett Lowder,207
Ian Seymour,207
José Buttó,206
Brandon Woodruff,206
Carlos Vargas,204
Sam Bachman,203
Edwin Díaz,202
Tommy Kahnle,201
José Alvarado,201
Carlos Estévez,201
Mick Abel,201
Drew Anderson,200
Brent Headrick,199
Josh Hader,199
Andrew Kittredge,199
Ryan Borucki,199
Jackson Jobe,199
Trey Yesavage,198
Connor Brogdon,198
Cade Gibson,197
Jordan Romano,197
George Soriano,196
Ryan Helsley,196
Scott Blewett,196
Carlos Carrasco,195
Jared Koenig,194
David Morgan,193
Isaac Mattson,193
JT Brubaker,192
Robert Garcia,192
José Suarez,191
Emmanuel Clase,191
Kyle Hart,190
Ryan Watson,189
Bennett Sousa,188
Trevor McDonald,186
Jorge Alcala,186
Cole Sulser,184
Didier Fuentes,184
Chad Green,184
Bryan Hudson,183
Spencer Miles,183
Kirby Yates,182
Lou Trivino,181
Danny Coulombe,179
Justin Bruihl,179
Cole Winn,179
Tanner Houck,179
Chris Flexen,179
Austin Gomber,179
Will Klein,178
Christian Scott,178
Reed Garrett,178
Ronel Blanco,178
Chris Martin,177
Shane Drohan,177
Randy Rodríguez,177
Angel Chivilli,176
Lyon Richardson,175
Matt Brash,173
Ian Hamilton,173
Sam Moll,172
Logan Henderson,172
Reynaldo López,171
Justin Lawrence,170
Cooper Criswell,170
AJ Smith-Shawver,170
Luinder Avila,169
Carlos Hernández,169
Richard Lovelady,168
Noah Schultz,168
José Fermin,168
Zack Kelly,167
Ron Marinaccio,166
Jake Woodford,165
Kody Funderburk,165
Tyler Ferguson,165
Ryan Pressly,165
Landon Knack,165
Jesse Scholtens,164
Chase Lee,163
Tim Mayza,161
Rico Garcia,161
Rafael Montero,160
Ben Lively,160
Steven Wilson,159
Paul Sewald,158
Colin Holderman,158
Tony Gonsolin,158
Tatsuya Imai,157
Tyler Gilbert,156
Connor Phillips,156
Joe Boyle,155
Evan Sisk,155
Marcus Stroman,155
Matt Gage,154
Luke Jackson,153
Richard Fitts,153
Caleb Boushley,152
Bradgley Rodriguez,150
Elvis Alvarado,150
Troy Melton,150
Anthony Nunez,149
Jaden Hill,149
Dietrich Enns,149
Max Kranick,149
Ryan Bergert,149
Michael Petersen,148
Andrew Morris,147
Javier Assad,147
Carson Palmquist,147
Brock Stewart,146
Grant Wolfram,145
Alex Lange,143
Justin Wilson,142
Bradley Blalock,142
Justin Slaten,141
Gunnar Hoglund,139
Tristan Beck,137
Luis Medina,136
Hunter Bigge,136
Shelby Miller,136
Matt Waldron,135
Eduardo Salazar,135
Brooks Raley,134
Jovani Morán,134
Albert Suárez,134
JR Ritchie,133
Blake Treinen,133
Austin Warren,133
Yerry De los Santos,133
Travis Adams,132
Tyler Wells,132
Hayden Wesneski,132
Ryan Weiss,131
Félix Bautista,130
Frankie Montas,130
Cam Booser,129
Brandon Williamson,128
Caleb Kilian,128
Gus Varland,127
Ethan Roberts,127
Tommy Nance,126
Keaton Winn,126
Kaleb Ort,126
Blade Tidwell,125
Daysbel Hernández,125
Erik Sabrowski,124
Joe Mantiply,124
Grayson Rodriguez,124
Shaun Anderson,123
Joel Kuhnel,123
Chris Murphy,122
Connor Seabold,121
Andrew Alvarez,121
Matt Sauer,120
Trevor Richards,119
Enmanuel De Jesus,119
Alek Jacob,119
Dylan Dodd,118
Tayler Scott,118
Brandon Waddell,117
Beau Brieske,116
Edgardo Henriquez,115
PJ Poulin,115
Manuel Rodríguez,115
Mitch Farris,114
Jared Shuster,114
Chase Silseth,113
Luis Mey,113
Génesis Cabrera,113
Joel Payamps,112
Gerrit Cole,112
Clayton Beeter,111
Lucas Sims,110
Kyle Nicolas,108
Robert Gasser,108
Easton Lucas,108
Collin Snider,107
Max Lazar,107
Dan Altavilla,107
Eli Morgan,105
Ryan Johnson,105
Cody Bolton,105
Michael Kelly,103
Orlando Ribalta,103
Ian Gibaut,103
Grant Holman,103
Yu Darvish,103
Peyton Gray,102
Blas Castaño,102
Jorge López,102
Chase Petty,101
Connor Gillispie,100
Kyle Backhus,99
Andrew Nardi,99
Matt Bowman,99
Zach Brzykcy,99
Sam Aldegheri,98
Trey Gibson,98
Peyton Pallette,97
Joey Lucchesi,97
Andre Granillo,96
Nick Sandlin,96
Kyle Hurt,96
Héctor Neris,96
Anthony DeSclafani,96
Gage Jump,95
Chris Stratton,94
José Castillo,94
Sawyer Gipson-Long,94
Jake Eder,93
Anthony Veneziano,93
Porter Hodge,92
Sean Reynolds,91
Hunter Strickland,91
Tyler Samaniego,90
John Brebbia,90
Mason Black,89
Andrew Chafin,89
Tyler Davis,88
Alex Hoppe,87
Chris Roycroft,86
Luis Gil,86
Coleman Crow,86
Sam Long,86
Andrew Hoffmann,85
Ty Madden,82
José Ureña,82
Elvin Rodríguez,81
Noah Murdock,81
Shawn Dubin,81
Craig Kimbrel,80
Ryan Fernandez,80
Julian Merryweather,80
Yimi García,80
Casey Lawrence,80
Wilber Dotel,79
Nate Pearson,79
Jose Franco,79
Burch Smith,79
Brandyn Garcia,79
Jordan Wicks,79
Jared Jones,79
Ryan Brasier,78
Nic Enright,78
Zak Kent,76
Gavin Collyer,76
Jesus Tinoco,76
Tejay Antone,75
Scott Alexander,74
Dane Dunning,74
Kyle Gibson,73
Sean Hjelle,73
José Ruiz,72
Luis Guerrero,72
Dylan Smith,71
Brandan Bidois,71
Zach Pop,70
Cole Wilcox,70
Josh Simpson,70
Seth Johnson,68
A.J. Minter,66
T.J. McFarland,66
Forrest Whitley,66
Jake Bennett,65
Carson Seymour,65
Elmer Rodríguez,64
Mike Paredes,64
Jayden Murray,63
Chris Devenski,63
Kendry Rojas,61
Hunter Barco,60
Cody Laweryson,60
Carlos Rodriguez,60
Carson Spiers,60
Liam Hendriks,60
Kendall Graveman,60
Justin Martinez,59
David Sandlin,58
Keegan Thompson,57
Corbin Martin,56
Penn Murfee,56
Wade Miley,56
Roddery Muñoz,55
Luis Morales,55
Alan Rangel,55
Ryan Loutos,55
Carson Fulmer,55
Jonathan Hernández,53
Joel Peguero,53
Logan VanWey,53
Justin Steele,53
Justin Hagenman,53
Joe Rock,52
Paul Gervase,52
Sam Hentges,52
Thomas Harrington,52
Josh Winckowski,52
Rob Zastryzny,52
Gregory Santos,51
Craig Yoho,51
Ian Anderson,51
Scott Effross,51
Trevor Martin,50
Anthony Molina,50
Bryce Jarvis,50
Colin Selby,50
Zach Maxwell,49
Lazaro Estrada,49
Cameron Foster,49
Cristian Javier,48
Adam Macko,48
Will Dion,48
John Curtiss,48
Luis Curvelo,47
Jonah Tong,47
Alimber Santa,47
Andry Lara,47
Daniel Robert,46
Davis Daniel,46
Allan Winans,46
Miguel Rojas,45
Gavin Hollowell,45
Codi Heuer,45
Garrett McDaniels,45
Luis Contreras,45
Alexis Díaz,45
Christian Roa,44
Jackson Kowar,44
Rich Hill,44
Nick Davila,43
Chayce McDermott,43
Michael Darrell-Hicks,43
Noah Davis,43
Sean Guenther,43
Easton McGee,42
Jonathan Pintaro,42
Jose Trevino,41
Josh Walker,41
Luis F. Castillo,41
Luarbert Arias,41
Dedniel Núñez,41
Riley Cornelio,40
Ken Waldichuk,40
Ricky Vanasco,40
Blake Snell,40
Kade Strowd,40
Colin Poche,40
Tyron Guerrero,39
Hunter Stratton,39
Alek Manoah,39
Javier Sanoja,39
Luis Peralta,39
Hunter Harvey,38
Carl Edwards Jr.,38
Drey Jameson,38
Mason Barnett,37
Joey Estes,37
Troy Taylor,37
Enrique Hernández,37
Tanner Rainey,37
Jonah Bride,37
José Urquidy,36
Domingo Gonzalez,36
Bryan Hoeing,36
Tyler Matzek,35
Scott McGough,35
Brooks Kriske,34
José Leclerc,34
Kenta Maeda,34
Jesse Chavez,33
Anthony Maldonado,33
Spencer Turnbull,33
Shinnosuke Ogasawara,33
Matt Pushard,32
George Klassen,32
Riley Martin,32
Jack Anderson,32
Doug Nikhazy,32
William Kempner,32
Austin Cox,32
Austin Voth,31
J.P. France,31
Geoff Hartlieb,31
Logan Gillaspie,31
Andrew Saalfrank,31
Cam Sanders,30
Brian Fitzpatrick,30
Brandon Leibrandt,30
A.J. Puk,30
Dillon Tate,30
Erik Swanson,30
Owen White,30
Juan Burgos,30
Caden Dana,29
Michael Kopech,29
Yaramil Hiraldo,28
Garrett Acton,28
Braxton Garrett,28
Bobby Miller,28
Michel Otañez,28
Miguel Castro,28
Justin Garza,28
Carter Baumler,27
Julian Fernández,27
Adam Mazur,27
Brady Basso,26
Joe La Sorsa,26
Eduarniel Núñez,26
Fraser Ellard,26
Danny Young,26
Tommy Henry,26
Cristian Mena,26
Charlie Barnes,25
Weston Wilson,25
Jesse Hahn,25
Kevin Herget,25
Nick Hernandez,25
Jon Gray,25
Victor Mederos,24
Beck Way,24
Mike Clevinger,24
Mason Thompson,24
Tyler Heineman,23
James McCann,23
Dax Fulton,23
Jacob Barnes,23
Michael Fulmer,23
J.P. Feyereisen,23
Wikelman González,23
Alex Carrillo,23
Josh Ekness,22
Robby Snelling,22
Wilkin Ramos,22
Robby Ahlstrom,22
Tyler Zuber,22
Kade Morris,22
Triston McKenzie,22
Evan Phillips,22
Carson Whisenhunt,22
Joey Gerber,21
Nolan Hoffman,21
Tayler Saucedo,21
Wyatt Mills,21
Zach McCambley,21
Nestor Cortes,21
Nick Burdi,21
Wander Suero,21
Drew Sommers,20
Tyler Schweitzer,20
Patrick Monteverde,20
Michael Mercado,20
Anthony Misiewicz,20
Konnor Pilkington,20
Johan Oviedo,19
Jake Rogers,19
John Klein,19
Brett Sullivan,19
Zach Thornton,19
Jonathan Heasley,19
Drew Rom,19
Jon Berti,19
Josh Fleming,18
Philip Abner,18
Eric Cerantola,18
Matt Manning,18
Omar Cruz,18
Jake Bauers,18
Jeff Brigham,18
Carlos Cortes,17
Chase Solesky,17
Samy Natera Jr.,17
Eiberson Castellano,17
Elvis Peguero,17
Connor Thomas,17
Jedixson Paez,16
Joey Wiemer,16
Angel Perdomo,16
Gerson Garabito,16
Cody Poteet,16
Tom Cosgrove,16
Caleb Freeman,16
Luke Williams,16
Kevin Newman,16
Taylor Rashi,15
Jorge Mateo,15
Sammy Peralta,15
Chad Dallas,15
Robert Stock,15
Yilber Díaz,15
Jhonny Pereda,15
Tyler Owens,15
Matt Krook,15
Vinny Capra,15
Pierson Ohl,15
Christian Koss,14
Nick Raquet,14
Austin Hedges,14
Adam Frazier,14
Daniel Duarte,14
Brycen Mautz,14
TJ Shook,14
Reiver Sanmartin,14
Patrick Murphy,14
Ben Joyce,14
Marc Church,14
Ty Adcock,14
Jack Little,14
Robinson Piña,14
Brendan Beck,13
Darren McCaughan,13
Randy Wynne,13
Bailey Horn,13
Emmanuel Rivera,13
Sean Sullivan,12
Rolddy Muñoz,12
Zach Thompson,12
Jordan Weems,12
Tyler Uberstine,11
Luke Little,11
Vince Velasquez,11
Franco Aleman,11
Tanner Andrews,11
Andrew Wantz,11
José Quijada,11
Andrew Walters,11
Xzavion Curry,11
Tucker Barnhart,11
Touki Toussaint,11
Luis Vázquez,11
Jacob Waguespack,10
Cody Ponce,10
Eduardo Rivera,10
Welinton Herrera,10
Hayden Juenger,10
Adrian Del Castillo,10
Amed Rosario,10
Brett de Geus,10
Willie MacIver,10
Jose Herrera,10
Ben Bowden,10
Nick Anderson,10
Antwone Kelly,9
Jeff Criswell,9
Tyler Tolbert,9
Ty Blach,9
Yovanny Cruz,9
Buddy Kennedy,9
Adam Ottavino,9
Christian Montes De Oca,9
José Caballero,9
Isaiah Campbell,9
Cooper Hummel,9
Dylan Moore,8
Ben Williamson,8
César Salazar,8
Kervin Castro,8
Josh White,8
James Karinchak,8
Jordan Balazovic,8
Sauryn Lao,8
Will Wilson,8
Yosver Zulueta,8
Jacob Stallings,8
Abraham Toro,8
Pablo Reyes,8
Ryan Burr,8
Michael Tonkin,8
Michael Rucker,7
Clay Helvey,7
Devin Sweet,7
Gary Sánchez,7
Nathan Wiles,7
Ezequiel Duran,7
Mike Yastrzemski,7
Jorbit Vivas,6
Yunior Marte,6
Alex Jackson,6
Tyler Myrick,6
Leo Rivas,6
Tomás Nido,6
Tyler Wade,6
Freddy Tarnok,6
Jake Palisch,6
Miles Mastrobuoni,6
Travis Jankowski,6
Jayvien Sandridge,6
Ali Sánchez,6
Kody Clemens,6
Luisangel Acuña,6
Kyle Higashioka,6
Yacksel Ríos,5
Alec Gamboa,5
Orlando Arcia,5
Carson Kelly,5
Tyler Callihan,5
Wilmy Sanchez,5
Diego Castillo,5
Sam Weatherly,5
Harold Chirino,5
Jake Higginbotham,5
Trent Harris,5
Colten Brewer,5
Bryan Mata,5
Leonardo Pestana,5
Jhonathan Díaz,5
Carlos Duran,5
Logan Porter,5
Kyle Farmer,5
Jose Espada,4
Aaron Brooks,4
Jacob Bosiokovic,4
Alec Burleson,4
Nate Eaton,4
Duncan Davitt,3
P.J. Higgins,3
Reese McGuire,3
Garrett Stubbs,3
Sam Haggerty,3
Cameron Weston,3
Troy Watson,3
Eric Reyzelman,3
Cooper Adams,3
Jacob Amaya,3
Alan Trejo,3
Michael Stefanic,3
Robert Stephenson,3
Jared Young,3
Garrett Hampson,3
Tyler Morgan,2
Allan Hernandez,1
Eddy Yean,1
Josh Hejka,1
National League,1
American League,1
