game_date,game_id,away_abbr,home_abbr,game_start_utc,market_type,num_tickers,coverage_label,best_label,worst_label,any_good,any_thin,any_stale,total_pre_snapshots,best_min_spread,best_narrow_snap
2026-06-21,LAA@ATH,LAA,ATH,2026-06-21T20:05,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,LAA@ATH,LAA,ATH,2026-06-21T20:05,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,11572,98,
2026-06-21,LAA@ATH,LAA,ATH,2026-06-21T20:05,moneyline,2,stale_only,stale_only,stale_only,False,False,True,2104,98,
2026-06-21,LAA@ATH,LAA,ATH,2026-06-21T20:05,player_hr,5,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,LAA@ATH,LAA,ATH,2026-06-21T20:05,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,6312,98,
2026-06-21,LAA@ATH,LAA,ATH,2026-06-21T20:05,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,15683,1,2026-06-21T20:04:41.765951+00:00
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,f5_spread,4,stale_only,stale_only,stale_only,False,False,True,1808,98,
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,f5_total,7,stale_only,stale_only,stale_only,False,False,True,3164,98,
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,4972,98,
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,moneyline,2,stale_only,stale_only,stale_only,False,False,True,904,98,
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,player_hr,34,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,2712,98,
2026-06-21,MIL@ATL,MIL,ATL,2026-06-21T17:35,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,7333,1,2026-06-21T17:34:13.459384+00:00
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,f5_spread,4,stale_only,stale_only,stale_only,False,False,True,3408,98,
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,f5_total,7,stale_only,stale_only,stale_only,False,False,True,5964,98,
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,9372,98,
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,moneyline,2,stale_only,stale_only,stale_only,False,False,True,1704,98,
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,player_hr,8,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,5112,98,
2026-06-21,MIN@AZ,MIN,AZ,2026-06-21T19:15,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,12742,1,2026-06-21T19:14:32.658862+00:00
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,f5_spread,4,stale_only,stale_only,stale_only,False,False,True,6204,98,
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,f5_total,7,stale_only,stale_only,stale_only,False,False,True,10857,98,
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,17039,98,
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,moneyline,2,stale_only,stale_only,stale_only,False,False,True,3098,98,
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,player_hr,8,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,9294,98,
2026-06-21,NYM@PHI,NYM,PHI,2026-06-21T23:20,team_total,14,good_pregame_coverage,good_pregame_coverage,stale_only,True,False,True,22386,1,2026-06-21T22:06:42.993223+00:00
2026-06-21,PIT@COL,PIT,COL,2026-06-21T19:10,f5_spread,4,stale_only,stale_only,stale_only,False,False,True,3328,98,
2026-06-21,PIT@COL,PIT,COL,2026-06-21T19:10,f5_total,7,stale_only,stale_only,stale_only,False,False,True,5824,98,
