game_date,game_id,away_abbr,home_abbr,game_start_utc,market_ticker,market_type,selected_team_abbr,line_value,is_semantics_clear,coverage_label,total_snapshots,pre_game_snapshots,post_game_snapshots,snapshots_6h_3h,snapshots_3h_90m,snapshots_90m_30m,snapshots_30m_start,latest_pre_snap,earliest_snap,latest_snap,min_spread_overall,min_spread_6h_3h,min_spread_3h_90m,min_spread_90m_30m,min_spread_30m_start,avg_spread_6h_3h,avg_spread_3h_90m,avg_spread_90m_30m,median_spread_6h_3h,median_spread_3h_90m,median_spread_90m_30m,empty_book_pre_count,empty_book_fraction,first_narrow_snap,last_narrow_snap,has_depth_json,depth_nonempty_count
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-BAL3,spread_run_line,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-BAL4,spread_run_line,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-LAD2,spread_run_line,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-LAD3,spread_run_line,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBSPREAD-26JUN211610BALLAD-LAD4,spread_run_line,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-BAL2,team_total,BAL,,1,good_pregame_coverage,1681,1099,582,360,367,245,127,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,2,3,3,2,2,95.9,96.2,96.1,98.0,98,98,1072,0.975,2026-06-21T15:38:19.444176+00:00,2026-06-21T20:06:12.879842+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-BAL3,team_total,BAL,,1,good_pregame_coverage,2077,1137,940,381,378,247,131,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,1,2,2,1,1,90.8,93.5,95.3,98,98.0,98,1072,0.943,2026-06-21T15:38:19.440498+00:00,2026-06-21T20:09:18.762385+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-BAL4,team_total,BAL,,1,good_pregame_coverage,2480,1127,1353,359,381,251,136,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,1,2,1,1,2,96.1,92.7,93.8,98,98,98,1072,0.951,2026-06-21T15:38:19.442235+00:00,2026-06-21T20:09:17.770011+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-BAL5,team_total,BAL,,1,good_pregame_coverage,3105,1119,1986,364,380,248,127,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,1,1,1,2,2,94.8,92.9,94.9,98.0,98.0,98.0,1072,0.958,2026-06-21T15:38:19.440069+00:00,2026-06-21T20:06:16.389889+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-BAL6,team_total,BAL,,1,good_pregame_coverage,2693,1102,1591,362,370,244,126,2026-06-21T20:09:52.778409+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,1,1,1,2,3,95.3,95.4,96.4,98.0,98.0,98.0,1072,0.973,2026-06-21T15:38:19.445490+00:00,2026-06-21T20:09:52.778409+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-BAL7,team_total,BAL,,1,good_pregame_coverage,3351,1156,2195,398,380,250,128,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,1,1,1,1,1,87.0,92.9,94.2,98.0,98.0,98.0,1072,0.927,2026-06-21T15:38:19.443002+00:00,2026-06-21T20:07:13.760368+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-BAL8,team_total,BAL,,1,good_pregame_coverage,3309,1123,2186,358,387,247,131,2026-06-21T20:09:58.772655+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,1,2,1,1,1,96.4,91.3,95.3,98.0,98,98,1072,0.955,2026-06-21T15:38:19.444591+00:00,2026-06-21T20:09:58.772655+00:00,True,1072
