season,game_pk,game_date,game_id,team,opponent,home_away,model_version,side_score,side_fade_score,side_pick,team_runs_4plus_score,team_runs_5plus_no_score,team_f5_runs_2plus_score,full_total_avoid_score,full_game_over_score,live_watch_score,avoid_score,top_positive_reasons,top_negative_reasons,bo_bucket,bd_bucket,bo_plus_weak_bd_tag,avoid_low_bo_strong_bd_tag,actual_team_won,actual_team_runs_4plus,actual_team_runs_5plus,actual_team_f5_runs_2plus,actual_game_total_9plus,actual_lw_tied_or_led,validation_mode
2025,777119,2025-07-13,LAD@SF,SF,LAD,home,ff_only,0.0,0.196,fade,0.0,0.0693,0.0,0.0,0.0428,0.0,0.1098,[game_total_9plus] team_strength_bucket+opponent_strength_bucket=50_55__55_60(+0.043) | [team_early_deficit_scored_next2] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__55_60(+0.055) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__55_60(+0.051),[team_won] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__55_60(-0.095) | [team_won] opponent_strength_bucket=55_60(-0.053) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__55_60(-0.064) | [team_runs_5plus] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__55_60(-0.069),avg_95_105,high_105_115,no,no,0,0,0,0,0,0,chronological_2023+2024_to_2025
2025,777211,2025-07-07,TB@DET,TB,DET,away,ff_only,0.0,0.1096,neutral,0.1207,0.0,0.0547,0.0,0.1315,0.0,0.1096,[team_runs_4plus] l10_rpg_bucket+opponent_starter_xfip_bucket=high_4_5_5_5__very_bad_5_25_plus(+0.058) | [team_runs_4plus] opponent_starter_kbb_bucket=weak_lt_8(+0.054) | [team_runs_5plus] l10_rpg_bucket+opponent_starter_xfip_bucket=high_4_5_5_5__very_bad_5_25_plus(+0.068) | [team_runs_5plus] opponent_starter_kbb_bucket=weak_lt_8(+0.055) | [game_total_9plus] opponent_starter_kbb_bucket=weak_lt_8(+0.049),[team_won] home_away+opponent_strength_bucket=away__55_60(-0.075) | [team_won] opponent_strength_bucket=55_60(-0.053) | [team_early_deficit_scored_next2] home_away+l10_rpg_bucket=away__high_4_5_5_5(-0.057) | [team_early_deficit_scored_next2] home_away=away(-0.042),very_high_115_plus,very_low_lt_85,no,no,0,0,0,0,0,0,chronological_2023+2024_to_2025
2025,777022,2025-07-23,MIN@LAD,MIN,LAD,away,ff_only,0.0,0.0504,neutral,0.0247,0.1441,0.0,0.0,0.0,0.0,0.1095,,[team_won] starter_quality_gap_bucket=minus_5_to_10(-0.086) | [team_won] team_strength_gap_bucket=minus_5_to_10(-0.054) | [team_runs_5plus] team_strength_gap_bucket=minus_5_to_10(-0.051) | [team_runs_5plus] starter_quality_gap_bucket=minus_5_to_10(-0.051) | [f5_total_4plus] starter_quality_gap_bucket=minus_5_to_10(-0.061),avg_95_105,high_105_115,no,no,0,0,0,0,0,1,chronological_2023+2024_to_2025
2025,776889,2025-08-03,LAD@TB,TB,LAD,home,ff_only,0.0,0.1141,neutral,0.0,0.0881,0.0,0.0,0.0,0.0,0.1095,[team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__50_55(+0.043) | [team_early_deficit_scored_next2] home_away=home(+0.042),[team_won] l10_scored5_rate_bucket=low_lt_30(-0.057) | [team_won] offense_form_bucket+opponent_starter_ra9_bucket=40_45__good_3_5_4_25(-0.057) | [team_runs_4plus] offense_form_bucket+opponent_starter_ra9_bucket=40_45__good_3_5_4_25(-0.084) | [team_runs_4plus] opponent_starter_ra9_bucket=good_3_5_4_25(-0.045) | [team_runs_5plus] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__50_55(-0.044),very_low_lt_85,very_low_lt_85,no,yes,0,0,0,0,0,0,chronological_2023+2024_to_2025
2025,777468,2025-06-17,KC@TEX,KC,TEX,away,ff_only,0.0,0.18,fade,0.0169,0.0387,0.0117,0.0,0.0469,0.0107,0.1094,[game_total_9plus] opponent_starter_kbb_bucket=weak_lt_8(+0.049) | [game_total_9plus] opponent_starter_xfip_bucket=very_bad_5_25_plus(+0.040),[team_won] l10_scored2minus_rate_bucket=high_60_75(-0.067) | [team_won] l10_scored5_rate_bucket=low_lt_30(-0.057) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=away__50_55(-0.071) | [team_early_deficit_scored_next2] home_away=away(-0.042),very_low_lt_85,very_low_lt_85,no,yes,1,1,1,1,0,0,chronological_2023+2024_to_2025
2025,777420,2025-06-21,DET@TB,DET,TB,away,ff_only,0.01,0.0,neutral,0.0,0.0172,0.0,0.0,0.0142,0.0,0.1094,,[team_runs_4plus] opponent_starter_xfip_bucket=excellent_lt_3_75(-0.067) | [team_runs_4plus] opponent_starter_ip_bucket=deep_5_8_6_4(-0.057) | [team_f5_runs_2plus] opponent_starter_xfip_bucket=excellent_lt_3_75(-0.054) | [team_f5_runs_2plus] opponent_starter_ip_bucket=deep_5_8_6_4(-0.051) | [team_early_deficit_tied_or_led_later] home_away+opponent_strength_bucket=away__50_55(-0.044),very_high_115_plus,very_low_lt_85,no,no,0,0,0,0,1,0,chronological_2023+2024_to_2025
2025,777832,2025-05-21,HOU@TB,HOU,TB,away,ff_only,0.0,0.1093,neutral,0.1609,0.0,0.0432,0.0,0.0887,0.0,0.1093,[team_runs_4plus] opponent_starter_kbb_bucket=weak_lt_8(+0.054) | [team_runs_4plus] opponent_starter_xfip_bucket=very_bad_5_25_plus(+0.053) | [team_runs_5plus] opponent_starter_kbb_bucket=weak_lt_8(+0.055) | [team_runs_5plus] opponent_starter_xfip_bucket=very_bad_5_25_plus(+0.053) | [game_total_9plus] opponent_starter_kbb_bucket=weak_lt_8(+0.049),[team_won] home_away+l10_rpg_bucket=away__low_lt_3_5(-0.056) | [team_won] offense_form_bucket+opponent_starter_ra9_bucket=40_45__avg_4_25_5_0(-0.054) | [team_early_deficit_tied_or_led_later] home_away+opponent_strength_bucket=away__45_50(-0.045) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=away__45_50(-0.052) | [team_early_deficit_scored_next2] home_away=away(-0.042),low_85_95,very_high_115_plus,no,no,0,1,0,1,1,0,chronological_2023+2024_to_2025
2025,777589,2025-06-08,SEA@LAA,SEA,LAA,away,ff_only,0.0,0.1093,neutral,0.2032,0.0,0.0432,0.0,0.0887,0.0,0.1093,[team_runs_4plus] opponent_starter_kbb_bucket=weak_lt_8(+0.054) | [team_runs_4plus] opponent_starter_xfip_bucket=very_bad_5_25_plus(+0.053) | [team_runs_5plus] opponent_starter_kbb_bucket=weak_lt_8(+0.055) | [team_runs_5plus] opponent_starter_xfip_bucket=very_bad_5_25_plus(+0.053) | [game_total_9plus] opponent_starter_kbb_bucket=weak_lt_8(+0.049),[team_won] home_away+l10_rpg_bucket=away__low_lt_3_5(-0.056) | [team_won] offense_form_bucket+opponent_starter_ra9_bucket=40_45__avg_4_25_5_0(-0.054) | [team_early_deficit_tied_or_led_later] home_away+opponent_strength_bucket=away__45_50(-0.045) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=away__45_50(-0.052) | [team_early_deficit_scored_next2] home_away=away(-0.042),very_low_lt_85,very_low_lt_85,no,no,1,0,0,1,0,0,chronological_2023+2024_to_2025
2025,777531,2025-06-13,TOR@PHI,PHI,TOR,home,ff_only,0.0,0.1141,neutral,0.0,0.0961,0.0,0.0,0.0,0.0544,0.1089,[team_early_deficit_tied_or_led_later] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.054) | [team_early_deficit_scored_next2] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.056) | [team_early_deficit_scored_next2] l10_rpg_bucket+opponent_starter_xfip_bucket=low_lt_3_5__good_3_75_4_25(+0.049) | [opponent_blew_early_small_lead] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.054),[team_won] l10_scored5_rate_bucket=low_lt_30(-0.057) | [team_won] offense_form_bucket+opponent_starter_ra9_bucket=40_45__good_3_5_4_25(-0.057) | [team_runs_4plus] offense_form_bucket+opponent_starter_ra9_bucket=40_45__good_3_5_4_25(-0.084) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=low_lt_3_5__50_55(-0.046) | [team_runs_5plus] l10_rpg_bucket+opponent_strength_bucket=low_lt_3_5__50_55(-0.052),very_low_lt_85,high_105_115,no,no,1,1,1,1,0,0,chronological_2023+2024_to_2025
2025,776628,2025-08-23,WSN@PHI,WSN,PHI,away,ff_only,0.0,0.2392,fade,0.01,0.0809,0.0,0.0476,0.0,0.0,0.1088,,[team_won] team_strength_gap_bucket=minus_10_or_worse(-0.102) | [team_won] home_away+opponent_strength_bucket=away__55_60(-0.075) | [team_runs_5plus] team_strength_gap_bucket=minus_10_or_worse(-0.074) | [team_runs_5plus] l10_rpg_bucket+opponent_starter_xfip_bucket=high_4_5_5_5__good_3_75_4_25(-0.057) | [game_total_9plus] l10_rpg_bucket+opponent_starter_xfip_bucket=high_4_5_5_5__good_3_75_4_25(-0.048),high_105_115,low_85_95,yes,no,0,1,0,0,1,0,chronological_2023+2024_to_2025
2025,778320,2025-04-14,SF@PHI,PHI,SF,home,ff_only,0.0,0.1676,fade,0.0,0.0507,0.0,0.0,0.0,0.0544,0.1087,[f5_total_4plus] opponent_strength_bucket=60_plus(+0.066) | [team_early_deficit_tied_or_led_later] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.054) | [team_early_deficit_scored_next2] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.056) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__60_plus(+0.051) | [opponent_blew_early_small_lead] home_away+l10_rpg_bucket=home__low_lt_3_5(+0.054),[team_won] l10_scored5_rate_bucket=low_lt_30(-0.057) | [team_won] home_away+opponent_strength_bucket=home__60_plus(-0.056) | [team_runs_4plus] home_away+opponent_strength_bucket=home__60_plus(-0.067) | [team_runs_4plus] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__avg_45_60(-0.059) | [team_runs_5plus] l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket=below_avg_30_45__avg_45_60(-0.055),very_low_lt_85,very_high_115_plus,no,yes,0,1,0,1,1,0,chronological_2023+2024_to_2025
2025,813043,2025-10-15,TOR@SEA,SEA,TOR,home,ff_only,0.0,0.1556,fade,0.0,0.0845,0.0,0.0,0.0,0.0,0.1087,[team_early_deficit_scored_next2] home_away+opponent_strength_bucket=home__50_55(+0.043) | [team_early_deficit_scored_next2] home_away=home(+0.042),[team_won] l10_scored5_rate_bucket=low_lt_30(-0.057) | [team_won] l10_scored4_rate_bucket=low_lt_30(-0.055) | [team_runs_4plus] opponent_starter_ra9_bucket=good_3_5_4_25(-0.045) | [team_runs_4plus] offense_form_bucket+opponent_starter_ra9_bucket=45_50__good_3_5_4_25(-0.041) | [team_runs_5plus] l10_rpg_bucket+opponent_strength_bucket=mid_3_5_4_5__50_55(-0.044),low_85_95,high_105_115,no,yes,0,1,0,1,1,0,chronological_2023+2024_to_2025
