game_date,game_id,team,opponent,home_away,lane,model_version,validation_mode,baseball_score,baseball_signal_side,baseball_threshold,market_found,matched_ticker,market_type,market_title,market_line_value,market_open_time,market_status,orderbook_snapshot_id,orderbook_snapped_at,yes_bid_cents,yes_ask_cents,no_bid_cents,no_ask_cents,bid_ask_spread_cents,is_fallback_snap,snapshot_age_hours,snapshot_recency_label,fallback_snap_at,fallback_snap_spread,fallback_snap_yes_bid,fallback_snap_yes_ask,fallback_snap_age_hours,game_start_utc,entry_side,entry_price_cents,model_probability_proxy,market_implied_probability,estimated_edge_cents,calibrated_probability,calibration_bin,calibration_sample_size,calibration_hit_rate,calibration_baseline,calibration_confidence,proxy_brain_score,tradeability_label,reason_not_tradeable,top_positive_reasons,top_negative_reasons,bo_bucket,bd_bucket,moneyline_core_lane,moneyline_core_status,moneyline_core_hist_rate,moneyline_core_hist_n,moneyline_core_calib_prob,moneyline_core_ask_cents,moneyline_core_fee_buffer,moneyline_core_net_edge
2026-06-25,KC@TB,TB,KC,home,side,ff_only,live_slate,0.2887,YES,0.2,True,KXMLBGAME-26JUN251210KCTB-TB,moneyline,Kansas City vs Tampa Bay Winner?,,2026-06-22T16:25:00Z,open,13559116,2026-06-25T16:09:30.099267+00:00,57,58,42,43,,True,0.01,fresh,,,,,,2026-06-25T16:10,YES,,0.5286,,,0.5286,0.20-0.30,1264,0.5309,0.4995,very_high,0.2887,stale_narrow_snapshot,Best available price is 0.0h old (recency=fresh); fallback snap used — primary was empty book or outside buffer window,[team_won] tag_live_rebound_watch=yes(+0.084) | [team_won] home_away+opponent_strength_bucket=home__40_45(+0.080) | [team_runs_4plus] home_away+opponent_strength_bucket=home__40_45(+0.054) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__40_45(+0.049) | [team_runs_5plus] opponent_strength_bucket=40_45(+0.063),,missing,missing,,not_applicable,,,0.5286,58,1.5,
2026-06-25,KC@TB,TB,KC,home,team_runs_4plus,ff_only,live_slate,0.2351,YES,0.15,True,KXMLBTEAMTOTAL-26JUN251210KCTB-TB4,team_total,Will Tampa Bay score over 3.5 runs?,,2026-06-24T21:30:00Z,open,,,,,,,,False,,no_snapshot,,,,,,2026-06-25T16:10,YES,,0.5667,,,0.5667,0.20-0.30,1318,0.5675,0.5555,very_high,0.2351,orderbook_missing,Market exists but no orderbook snapshot in DB,[team_won] tag_live_rebound_watch=yes(+0.084) | [team_won] home_away+opponent_strength_bucket=home__40_45(+0.080) | [team_runs_4plus] home_away+opponent_strength_bucket=home__40_45(+0.054) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__40_45(+0.049) | [team_runs_5plus] opponent_strength_bucket=40_45(+0.063),,missing,missing,,not_applicable,,,,,,
2026-06-25,SEA@PIT,SEA,PIT,away,team_runs_4plus,ff_only,live_slate,0.1679,YES,0.15,True,KXMLBTEAMTOTAL-26JUN251235SEAPIT-SEA4,team_total,Will Seattle score over 3.5 runs?,,2026-06-24T21:30:00Z,open,13573734,2026-06-25T16:24:34.383769+00:00,61,63,37,39,,True,0.17,fresh,,,,,,2026-06-25T16:35,YES,,0.5883,,,0.5883,0.10-0.20,2170,0.5899,0.5555,very_high,0.1679,stale_narrow_snapshot,Best available price is 0.2h old (recency=fresh); fallback snap used — primary was empty book or outside buffer window,[team_runs_4plus] opponent_run_prevention_bucket=lt_40(+0.075) | [team_runs_4plus] opponent_starter_kbb_bucket=weak_lt_8(+0.048) | [team_runs_5plus] opponent_run_prevention_bucket=lt_40(+0.077) | [team_runs_5plus] opponent_starter_kbb_bucket=weak_lt_8(+0.046) | [game_total_9plus] opponent_run_prevention_bucket=lt_40(+0.055),[f5_total_4plus] team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.049) | [f5_total_4plus] starter_quality_gap_bucket=plus_5_to_10(-0.044) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=away__50_55(-0.057) | [team_early_deficit_scored_next2] home_away=away(-0.041),missing,missing,,not_applicable,,,,,,
2026-06-25,ATH@SF,SF,ATH,home,team_runs_4plus,ff_only,live_slate,0.1643,YES,0.15,True,KXMLBTEAMTOTAL-26JUN251545ATHSF-SF4,team_total,Will San Francisco score over 3.5 runs?,,2026-06-24T21:30:00Z,open,13573748,2026-06-25T16:24:34.383769+00:00,58,59,41,42,1,False,3.34,stale,,,,,,2026-06-25T19:45,YES,59,0.5883,0.59,-0.17,0.5883,0.10-0.20,2170,0.5899,0.5555,very_high,0.1643,price_not_good_enough,Edge -0.2c <= 0; market implies higher probability than model,[team_runs_4plus] opponent_run_prevention_bucket=lt_40(+0.075) | [team_runs_4plus] offense_form_bucket+opponent_starter_ra9_bucket=40_45__very_bad_6_plus(+0.045) | [team_runs_5plus] opponent_run_prevention_bucket=lt_40(+0.077) | [team_runs_5plus] opponent_starter_blowup_rate_bucket=below_avg_30_45(+0.043) | [game_total_9plus] opponent_run_prevention_bucket=lt_40(+0.055),[team_won] team_strength_bucket+opponent_strength_bucket=40_45__45_50(-0.065) | [team_won] team_strength_bucket=40_45(-0.059) | [team_early_deficit_tied_or_led_later] offense_form_bucket+opponent_starter_ra9_bucket=40_45__very_bad_6_plus(-0.041) | [opponent_blew_early_small_lead] offense_form_bucket+opponent_starter_ra9_bucket=40_45__very_bad_6_plus(-0.041),missing,missing,,not_applicable,,,,,,
2026-06-25,AZ@STL,STL,AZ,home,team_runs_4plus,ff_only,live_slate,0.2492,YES,0.15,True,KXMLBTEAMTOTAL-26JUN251945AZSTL-STL4,team_total,Will St. Louis score over 3.5 runs?,,2026-06-24T21:30:00Z,open,13573832,2026-06-25T16:24:34.383769+00:00,62,64,36,38,2,False,7.34,stale,,,,,,2026-06-25T23:45,YES,64,0.5667,0.64,-7.33,0.5667,0.20-0.30,1318,0.5675,0.5555,very_high,0.2492,price_not_good_enough,Edge -7.3c <= 0; market implies higher probability than model,[team_won] tag_live_rebound_watch=yes(+0.084) | [team_won] l10_rpg_bucket+opponent_starter_xfip_bucket=high_4_5_5_5__very_bad_5_25_plus(+0.064) | [team_runs_4plus] offense_form_bucket+opponent_starter_ra9_bucket=50_55__very_bad_6_plus(+0.059) | [team_runs_4plus] l10_rpg_bucket+opponent_starter_xfip_bucket=high_4_5_5_5__very_bad_5_25_plus(+0.057) | [team_runs_5plus] l10_rpg_bucket+opponent_starter_xfip_bucket=high_4_5_5_5__very_bad_5_25_plus(+0.060),,missing,missing,,not_applicable,,,,,,
2026-06-25,KC@TB,TB,KC,home,team_f5_runs_2plus,ff_only,live_slate,0.2527,positive_predict_yes,0.2,False,,N/A,,,,,,,,,,,,False,,no_snapshot,,,,,,,,,0.613,,,,,,,,,,unsupported_market_type,"No per-team F5 runs market in current Kalshi universe. f5_total is a game total, not per-team. f5_winner resolves on half-inning lead, not runs scored.",[team_won] tag_live_rebound_watch=yes(+0.084) | [team_won] home_away+opponent_strength_bucket=home__40_45(+0.080) | [team_runs_4plus] home_away+opponent_strength_bucket=home__40_45(+0.054) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__40_45(+0.049) | [team_runs_5plus] opponent_strength_bucket=40_45(+0.063),,missing,missing,,,,,,,,
2026-06-25,ATH@SF,ATH,SF,away,team_f5_runs_2plus,ff_only,live_slate,0.3412,positive_predict_yes,0.2,False,,N/A,,,,,,,,,,,,False,,no_snapshot,,,,,,,,,0.613,,,,,,,,,,unsupported_market_type,"No per-team F5 runs market in current Kalshi universe. f5_total is a game total, not per-team. f5_winner resolves on half-inning lead, not runs scored.",[team_won] l10_rpg_bucket+opponent_strength_bucket=very_high_5_5_plus__40_45(+0.129) | [team_won] tag_weak_leader_fade_watch=yes(+0.104) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=very_high_5_5_plus__40_45(+0.095) | [team_runs_4plus] tag_weak_leader_fade_watch=yes(+0.082) | [team_runs_5plus] l10_rpg_bucket+opponent_strength_bucket=very_high_5_5_plus__40_45(+0.131),[team_early_deficit_tied_or_led_later] home_away+opponent_strength_bucket=away__40_45(-0.040) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=away__40_45(-0.053) | [team_early_deficit_scored_next2] home_away=away(-0.041) | [opponent_blew_early_small_lead] home_away+opponent_strength_bucket=away__40_45(-0.040),missing,missing,,,,,,,,
