game_date,game_id,team,opponent,home_away,lane,model_version,validation_mode,baseball_score,baseball_signal_side,baseball_threshold,market_found,matched_ticker,market_type,market_title,market_line_value,market_open_time,market_status,orderbook_snapshot_id,orderbook_snapped_at,yes_bid_cents,yes_ask_cents,no_bid_cents,no_ask_cents,bid_ask_spread_cents,is_fallback_snap,snapshot_age_hours,snapshot_recency_label,fallback_snap_at,fallback_snap_spread,fallback_snap_yes_bid,fallback_snap_yes_ask,fallback_snap_age_hours,game_start_utc,entry_side,entry_price_cents,model_probability_proxy,market_implied_probability,estimated_edge_cents,tradeability_label,reason_not_tradeable,top_positive_reasons,top_negative_reasons,bo_bucket,bd_bucket
2026-06-25,KC@TB,TB,KC,home,team_f5_runs_2plus,ff_only,live_slate,0.2527,positive_predict_yes,0.2,False,,N/A,,,,,,,,,,,,False,,no_snapshot,,,,,,,,,0.613,,,unsupported_market_type,"No per-team F5 runs market in current Kalshi universe. f5_total is a game total, not per-team. f5_winner resolves on half-inning lead, not runs scored.",[team_won] tag_live_rebound_watch=yes(+0.084) | [team_won] home_away+opponent_strength_bucket=home__40_45(+0.080) | [team_runs_4plus] home_away+opponent_strength_bucket=home__40_45(+0.054) | [team_runs_4plus] team_strength_bucket+opponent_strength_bucket=50_55__40_45(+0.049) | [team_runs_5plus] opponent_strength_bucket=40_45(+0.063),,missing,missing
2026-06-25,ATH@SF,ATH,SF,away,team_f5_runs_2plus,ff_only,live_slate,0.3412,positive_predict_yes,0.2,False,,N/A,,,,,,,,,,,,False,,no_snapshot,,,,,,,,,0.613,,,unsupported_market_type,"No per-team F5 runs market in current Kalshi universe. f5_total is a game total, not per-team. f5_winner resolves on half-inning lead, not runs scored.",[team_won] l10_rpg_bucket+opponent_strength_bucket=very_high_5_5_plus__40_45(+0.129) | [team_won] tag_weak_leader_fade_watch=yes(+0.104) | [team_runs_4plus] l10_rpg_bucket+opponent_strength_bucket=very_high_5_5_plus__40_45(+0.095) | [team_runs_4plus] tag_weak_leader_fade_watch=yes(+0.082) | [team_runs_5plus] l10_rpg_bucket+opponent_strength_bucket=very_high_5_5_plus__40_45(+0.131),[team_early_deficit_tied_or_led_later] home_away+opponent_strength_bucket=away__40_45(-0.040) | [team_early_deficit_scored_next2] home_away+opponent_strength_bucket=away__40_45(-0.053) | [team_early_deficit_scored_next2] home_away=away(-0.041) | [opponent_blew_early_small_lead] home_away+opponent_strength_bucket=away__40_45(-0.040),missing,missing
