market_type,hour_utc,total_snaps,real_price_snaps,empty_snaps
f5_spread,15,4320,0,4320
f5_spread,16,14400,116,14284
f5_spread,17,14400,960,13440
f5_spread,18,14400,1100,12071
f5_spread,19,14400,5440,7649
f5_spread,20,14400,8896,4906
f5_spread,21,14400,11412,2494
f5_spread,22,14400,13412,960
f5_spread,23,14400,13440,960
f5_total,15,7560,0,7560
f5_total,16,25200,168,25032
f5_total,17,25200,1680,23449
f5_total,18,25200,1924,19057
f5_total,19,25200,9297,11469
f5_total,20,25200,15342,6149
f5_total,21,25200,19731,2340
f5_total,22,25200,23231,1680
f5_total,23,25200,23280,1545
full_game_total,15,11736,0,11736
full_game_total,16,39120,396,38680
full_game_total,17,39120,2160,36718
full_game_total,18,39120,2160,33846
full_game_total,19,39120,2160,29675
full_game_total,20,39120,11611,18928
full_game_total,21,39120,20767,11386
full_game_total,22,39120,28029,4521
full_game_total,23,39120,34741,2605
moneyline,15,2160,0,2160
moneyline,16,7200,110,7090
moneyline,17,7200,480,6720
moneyline,18,7200,480,6720
moneyline,19,7200,480,6472
moneyline,20,7200,2280,4477
moneyline,21,7200,4030,2764
moneyline,22,7200,5374,1372
moneyline,23,7200,6622,480
spread_run_line,15,6480,0,6480
spread_run_line,16,21600,318,21282
spread_run_line,17,21600,1440,20160
spread_run_line,18,21600,1440,19940
spread_run_line,19,21600,1440,18915
spread_run_line,20,21600,6846,12866
spread_run_line,21,21600,12090,7890
spread_run_line,22,21600,16122,3546
spread_run_line,23,21600,19866,1440
team_total,15,16708,1555,15120
team_total,16,53509,3095,49896
team_total,17,79698,29292,47033
team_total,18,131206,77884,46142
team_total,19,134915,78236,41332
team_total,20,114603,59488,27515
team_total,21,90277,38010,16142
team_total,22,58696,7727,7365
team_total,23,50400,1176,3408
