shadow_id,game_date,game,team,lane,direction,market_ticker,decision_time_utc,calibrated_probability,estimated_ask_cents,estimated_net_edge_cents,nearest_snapshot_time_utc,snapshot_age_seconds,fill_source,realistic_fill_price_cents,yes_bid_cents,yes_ask_cents,no_bid_cents,no_ask_cents,spread_cents,depth_at_fill,fill_quality,fill_quality_reason,fee_buffer_cents,net_edge_at_fill_cents,breakeven_probability,actual_result,pnl_per_1_contract_cents,fee_adjusted_pnl_cents,clv_open_points,clv_current_or_close_points,outcome_status
ca3ac4b0d28b,2026-06-23,ATH@SF,ATH,side,YES,KXMLBGAME-26JUN232145ATHSF-ATH,2026-06-24T00:30:41.734060+00:00,0.6039,45,15.39,2026-06-24T00:30:14.991621+00:00,26.7,kalshi_orderbook_snapshot,44,43,44,56,57,1,,usable,ok,1.5,14.89,0.44,loss,-44,-44,,,graded
c1dbb592b50e,2026-06-23,ATH@SF,ATH,team_runs_4plus,YES,KXMLBTEAMTOTAL-26JUN232145ATHSF-ATH4,2026-06-24T00:30:41.734060+00:00,0.5667,56,0.67,2026-06-24T00:30:14.991621+00:00,26.7,kalshi_orderbook_snapshot,56,55,56,44,45,1,,usable,ok,1.5,-0.83,0.56,loss,-56,-56,,,graded
49c98a2c81da,2026-06-23,MIL@CIN,MIL,side,YES,KXMLBGAME-26JUN231910MILCIN-MIL,2026-06-24T00:30:41.734060+00:00,0.5286,50,2.86,2026-06-24T00:30:14.991621+00:00,26.7,kalshi_orderbook_snapshot,53,52,53,47,48,1,,usable,ok,1.5,-1.64,0.53,win,47,45.5,,,graded
