combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
home_away+l10_rpg_bucket,home__very_high_5_5_plus,team_runs_4plus,"2023,2024,2025",3,1429,425,0.5797,0.5654,0.5925,0.0271,0.0218,0.0161,0.0312,mixed_or_noisy
home_away+l10_rpg_bucket,home__very_high_5_5_plus,team_runs_5plus,"2023,2024,2025",3,1429,425,0.4641,0.4346,0.4849,0.0503,0.0326,0.018,0.0477,mixed_or_noisy
home_away+l10_rpg_bucket,home__very_high_5_5_plus,team_trailed_early_1to3,"2023,2024,2025",3,1429,425,0.4917,0.481,0.5035,0.0225,0.0036,-0.0117,0.0209,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_4plus,"2023,2024,2025",3,1426,441,0.6449,0.6233,0.6712,0.0479,0.0189,0.0007,0.0501,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,f5_total_5plus,"2023,2024,2025",3,1426,441,0.5162,0.4888,0.5329,0.0441,0.0098,-0.0041,0.0372,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,game_total_10plus,"2023,2024,2025",3,1426,441,0.4351,0.426,0.4416,0.0156,0.036,0.0159,0.0571,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_blew_early_small_lead,"2023,2024,2025",3,1426,441,0.2644,0.263,0.2668,0.0038,-0.0165,-0.0218,-0.0067,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_4plus,"2023,2024,2025",3,1426,441,0.5614,0.5547,0.5717,0.017,0.0035,-0.0198,0.0224,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,opponent_runs_5plus,"2023,2024,2025",3,1426,441,0.4291,0.4058,0.4416,0.0358,-0.0025,-0.0113,0.0147,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_scored_next2,"2023,2024,2025",3,1426,441,0.285,0.2676,0.296,0.0284,-0.0398,-0.0472,-0.0319,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1426,441,0.2644,0.263,0.2668,0.0038,-0.0165,-0.0218,-0.0067,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_f5_runs_2plus,"2023,2024,2025",3,1426,441,0.6141,0.5628,0.6599,0.0971,0.031,-0.0126,0.0804,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_4plus,"2023,2024,2025",3,1426,441,0.5905,0.5426,0.6259,0.0833,0.0326,-0.0067,0.0759,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_5plus,"2023,2024,2025",3,1426,441,0.4709,0.4305,0.4943,0.0638,0.0393,0.0139,0.0691,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_trailed_early_1to3,"2023,2024,2025",3,1426,441,0.4572,0.4354,0.4686,0.0332,-0.0309,-0.0472,-0.0214,mixed_or_noisy
home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_won,"2023,2024,2025",3,1426,441,0.518,0.4978,0.5533,0.0555,0.0186,-0.0022,0.0553,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,f5_total_4plus,"2023,2024,2025",3,1397,418,0.6085,0.5642,0.6507,0.0865,-0.0174,-0.0584,0.0165,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,f5_total_5plus,"2023,2024,2025",3,1397,418,0.485,0.4216,0.5478,0.1262,-0.0214,-0.0709,0.0168,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,game_total_10plus,"2023,2024,2025",3,1397,418,0.3826,0.3607,0.4163,0.0556,-0.0165,-0.0204,-0.0094,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,game_total_9plus,"2023,2024,2025",3,1397,418,0.4865,0.459,0.5239,0.0649,-0.0119,-0.0273,0.0002,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,opponent_blew_early_small_lead,"2023,2024,2025",3,1397,418,0.2987,0.2766,0.3157,0.0391,0.0178,0.0069,0.028,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,opponent_runs_4plus,"2023,2024,2025",3,1397,418,0.5604,0.5438,0.5861,0.0423,0.0024,-0.0055,0.0116,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,opponent_runs_5plus,"2023,2024,2025",3,1397,418,0.443,0.4114,0.4689,0.0575,0.0115,-0.0052,0.0236,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_early_deficit_scored_next2,"2023,2024,2025",3,1397,418,0.3226,0.2992,0.3469,0.0477,-0.0021,-0.0156,0.0153,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1397,418,0.2987,0.2766,0.3157,0.0391,0.0178,0.0069,0.028,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_post5_runs_2plus,"2023,2024,2025",3,1397,418,0.4838,0.4508,0.5031,0.0523,0.0029,-0.0265,0.033,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_runs_4plus,"2023,2024,2025",3,1397,418,0.5475,0.5205,0.5885,0.068,-0.0104,-0.0295,0.014,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_runs_5plus,"2023,2024,2025",3,1397,418,0.4144,0.3852,0.4569,0.0717,-0.0171,-0.04,0.004,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_trailed_early_1to3,"2023,2024,2025",3,1397,418,0.5091,0.4976,0.5164,0.0188,0.021,0.0087,0.0338,mixed_or_noisy
offense_form_bucket+opponent_starter_ra9_bucket,50_55__excellent_lt_3_5,team_won,"2023,2024,2025",3,1397,418,0.4957,0.4816,0.5031,0.0215,-0.0036,-0.0164,0.0031,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,f5_total_4plus,"2023,2024,2025",3,1386,434,0.6119,0.5864,0.6364,0.05,-0.0141,-0.0347,0.0138,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,f5_total_5plus,"2023,2024,2025",3,1386,434,0.4908,0.4661,0.5131,0.047,-0.0156,-0.0379,0.0206,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,game_total_10plus,"2023,2024,2025",3,1386,434,0.3904,0.3501,0.4171,0.067,-0.0087,-0.0304,0.0129,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,game_total_9plus,"2023,2024,2025",3,1386,434,0.4876,0.4595,0.5184,0.0589,-0.0109,-0.0268,-0.0005,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,opponent_blew_early_small_lead,"2023,2024,2025",3,1386,434,0.2743,0.2516,0.297,0.0454,-0.0066,-0.0181,0.0093,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,opponent_runs_4plus,"2023,2024,2025",3,1386,434,0.5791,0.5558,0.6037,0.0479,0.0212,0.0058,0.0292,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,opponent_runs_5plus,"2023,2024,2025",3,1386,434,0.4595,0.4333,0.4885,0.0552,0.0279,0.0081,0.04,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_early_deficit_scored_next2,"2023,2024,2025",3,1386,434,0.3121,0.291,0.3434,0.0524,-0.0127,-0.0298,0.0155,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1386,434,0.2743,0.2516,0.297,0.0454,-0.0066,-0.0181,0.0093,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_f5_runs_2plus,"2023,2024,2025",3,1386,434,0.5452,0.512,0.576,0.064,-0.038,-0.0675,-0.0185,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_post5_runs_2plus,"2023,2024,2025",3,1386,434,0.482,0.4677,0.497,0.0293,0.0011,-0.0278,0.0269,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_runs_4plus,"2023,2024,2025",3,1386,434,0.5387,0.5186,0.5515,0.0329,-0.0192,-0.0314,0.0022,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_runs_5plus,"2023,2024,2025",3,1386,434,0.3996,0.3917,0.404,0.0123,-0.0319,-0.0497,-0.0126,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_trailed_early_1to3,"2023,2024,2025",3,1386,434,0.5008,0.477,0.5232,0.0462,0.0128,-0.0056,0.0305,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,45_50__50_55,team_won,"2023,2024,2025",3,1386,434,0.4814,0.4661,0.501,0.0349,-0.018,-0.0319,0.001,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,f5_total_4plus,"2023,2024,2025",3,1386,434,0.6119,0.5864,0.6364,0.05,-0.0141,-0.0347,0.0138,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,f5_total_5plus,"2023,2024,2025",3,1386,434,0.4908,0.4661,0.5131,0.047,-0.0156,-0.0379,0.0206,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,game_total_10plus,"2023,2024,2025",3,1386,434,0.3904,0.3501,0.4171,0.067,-0.0087,-0.0304,0.0129,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,game_total_9plus,"2023,2024,2025",3,1386,434,0.4876,0.4595,0.5184,0.0589,-0.0109,-0.0268,-0.0005,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,opponent_blew_early_small_lead,"2023,2024,2025",3,1386,434,0.2683,0.256,0.2747,0.0187,-0.0126,-0.0137,-0.0111,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,opponent_runs_4plus,"2023,2024,2025",3,1386,434,0.5387,0.5186,0.5515,0.0329,-0.0192,-0.0314,0.0022,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,opponent_runs_5plus,"2023,2024,2025",3,1386,434,0.3996,0.3917,0.404,0.0123,-0.0319,-0.0497,-0.0126,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_early_deficit_scored_next2,"2023,2024,2025",3,1386,434,0.3002,0.2823,0.3111,0.0288,-0.0246,-0.0325,-0.0205,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1386,434,0.2683,0.256,0.2747,0.0187,-0.0126,-0.0137,-0.0111,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_f5_runs_2plus,"2023,2024,2025",3,1386,434,0.5989,0.5886,0.6182,0.0296,0.0158,-0.0046,0.0428,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_post5_runs_2plus,"2023,2024,2025",3,1386,434,0.4819,0.4617,0.5092,0.0475,0.0009,-0.0156,0.0137,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_runs_4plus,"2023,2024,2025",3,1386,434,0.5791,0.5558,0.6037,0.0479,0.0212,0.0058,0.0292,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_runs_5plus,"2023,2024,2025",3,1386,434,0.4595,0.4333,0.4885,0.0552,0.0279,0.0081,0.04,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_trailed_early_1to3,"2023,2024,2025",3,1386,434,0.4499,0.4245,0.4747,0.0502,-0.0382,-0.0581,-0.0142,mixed_or_noisy
team_strength_bucket+opponent_strength_bucket,50_55__45_50,team_won,"2023,2024,2025",3,1386,434,0.5186,0.499,0.5339,0.0349,0.0193,-0.001,0.0359,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,f5_total_4plus,"2023,2024,2025",3,1345,379,0.6289,0.6032,0.6544,0.0512,0.003,-0.0179,0.0318,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,f5_total_5plus,"2023,2024,2025",3,1345,379,0.5168,0.5142,0.5191,0.0049,0.0104,-0.0119,0.0247,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,game_total_10plus,"2023,2024,2025",3,1345,379,0.4171,0.4063,0.428,0.0217,0.018,0.0023,0.0365,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,game_total_9plus,"2023,2024,2025",3,1345,379,0.5268,0.5127,0.5425,0.0298,0.0283,-0.011,0.0562,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,opponent_blew_early_small_lead,"2023,2024,2025",3,1345,379,0.2911,0.2713,0.3245,0.0532,0.0102,-0.0078,0.0368,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,opponent_runs_4plus,"2023,2024,2025",3,1345,379,0.5508,0.5254,0.5805,0.0551,-0.0071,-0.0491,0.0312,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,opponent_runs_5plus,"2023,2024,2025",3,1345,379,0.4184,0.3962,0.4459,0.0497,-0.0132,-0.0567,0.0293,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_early_deficit_scored_next2,"2023,2024,2025",3,1345,379,0.3248,0.3051,0.3536,0.0485,0.0001,-0.0265,0.0257,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1345,379,0.2911,0.2713,0.3245,0.0532,0.0102,-0.0078,0.0368,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_f5_runs_2plus,"2023,2024,2025",3,1345,379,0.6181,0.6093,0.6356,0.0263,0.035,0.0298,0.0411,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_post5_runs_2plus,"2023,2024,2025",3,1345,379,0.5067,0.4908,0.5212,0.0304,0.0257,0.0207,0.0308,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_runs_4plus,"2023,2024,2025",3,1345,379,0.5935,0.5726,0.6229,0.0503,0.0356,0.0233,0.0484,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_runs_5plus,"2023,2024,2025",3,1345,379,0.4549,0.4274,0.4979,0.0705,0.0233,0.0108,0.045,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_trailed_early_1to3,"2023,2024,2025",3,1345,379,0.4749,0.4364,0.5409,0.1045,-0.0132,-0.0525,0.0482,mixed_or_noisy
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,short_lt_4_3__low_lt_3_5,team_won,"2023,2024,2025",3,1345,379,0.533,0.5119,0.5508,0.0389,0.0337,0.0119,0.0508,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,f5_total_4plus,"2023,2024,2025",3,1334,432,0.623,0.6089,0.635,0.0261,-0.003,-0.0253,0.0139,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,f5_total_5plus,"2023,2024,2025",3,1334,432,0.4924,0.4779,0.5156,0.0377,-0.014,-0.0178,-0.0087,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,game_total_10plus,"2023,2024,2025",3,1334,432,0.4004,0.3956,0.4097,0.0141,0.0013,-0.0301,0.0186,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,game_total_9plus,"2023,2024,2025",3,1334,432,0.5046,0.4956,0.5139,0.0183,0.0062,-0.0193,0.0286,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,opponent_blew_early_small_lead,"2023,2024,2025",3,1334,432,0.2705,0.25,0.3,0.05,-0.0104,-0.0261,0.0147,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,opponent_runs_4plus,"2023,2024,2025",3,1334,432,0.5527,0.5199,0.5733,0.0534,-0.0053,-0.0301,0.0155,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,opponent_runs_5plus,"2023,2024,2025",3,1334,432,0.4273,0.4093,0.4444,0.0351,-0.0043,-0.0159,0.0116,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_early_deficit_scored_next2,"2023,2024,2025",3,1334,432,0.3262,0.3031,0.3467,0.0436,0.0014,-0.0117,0.0151,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1334,432,0.2705,0.25,0.3,0.05,-0.0104,-0.0261,0.0147,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_f5_runs_2plus,"2023,2024,2025",3,1334,432,0.5821,0.5602,0.6018,0.0416,-0.001,-0.0152,0.0223,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_post5_runs_2plus,"2023,2024,2025",3,1334,432,0.4986,0.4934,0.5069,0.0135,0.0177,0.0001,0.0368,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_runs_4plus,"2023,2024,2025",3,1334,432,0.5758,0.5711,0.581,0.0099,0.0178,-0.0034,0.0317,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_runs_5plus,"2023,2024,2025",3,1334,432,0.4572,0.4535,0.4644,0.0109,0.0256,0.0115,0.0371,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_trailed_early_1to3,"2023,2024,2025",3,1334,432,0.4865,0.4602,0.5156,0.0554,-0.0015,-0.0224,0.0267,mixed_or_noisy
team_l10_f5_rpg_bucket+opponent_l10_f5_allowed_bucket,mid_3_5_4_5__low_lt_3_5,team_won,"2023,2024,2025",3,1334,432,0.5171,0.5069,0.531,0.0241,0.0177,0.0069,0.033,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,f5_total_4plus,"2023,2024,2025",3,1329,363,0.6204,0.5895,0.6373,0.0478,-0.0056,-0.0447,0.0147,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,f5_total_5plus,"2023,2024,2025",3,1329,363,0.494,0.4848,0.5009,0.0161,-0.0124,-0.0462,0.0052,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,game_total_10plus,"2023,2024,2025",3,1329,363,0.3925,0.3673,0.4081,0.0408,-0.0066,-0.0235,0.017,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,game_total_9plus,"2023,2024,2025",3,1329,363,0.481,0.466,0.5041,0.0381,-0.0175,-0.0196,-0.0135,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,opponent_blew_early_small_lead,"2023,2024,2025",3,1329,363,0.2624,0.2513,0.2796,0.0283,-0.0185,-0.0291,-0.0081,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,opponent_runs_4plus,"2023,2024,2025",3,1329,363,0.54,0.522,0.5565,0.0345,-0.0179,-0.028,-0.0077,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,opponent_runs_5plus,"2023,2024,2025",3,1329,363,0.4073,0.3972,0.4242,0.027,-0.0243,-0.0287,-0.0161,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_early_deficit_scored_next2,"2023,2024,2025",3,1329,363,0.3119,0.2893,0.3249,0.0356,-0.0128,-0.0423,0.0068,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1329,363,0.2624,0.2513,0.2796,0.0283,-0.0185,-0.0291,-0.0081,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_f5_runs_2plus,"2023,2024,2025",3,1329,363,0.5823,0.5482,0.6171,0.0689,-0.0008,-0.0463,0.0417,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_post5_runs_2plus,"2023,2024,2025",3,1329,363,0.4665,0.4181,0.5262,0.1081,-0.0145,-0.052,0.0307,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_runs_4plus,"2023,2024,2025",3,1329,363,0.5494,0.5189,0.5758,0.0569,-0.0085,-0.0304,0.0036,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_runs_5plus,"2023,2024,2025",3,1329,363,0.4311,0.4081,0.4545,0.0464,-0.0005,-0.0085,0.0054,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_trailed_early_1to3,"2023,2024,2025",3,1329,363,0.4793,0.4656,0.5013,0.0357,-0.0088,-0.0233,0.0086,mixed_or_noisy
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__45_50,team_won,"2023,2024,2025",3,1329,363,0.4909,0.4736,0.5069,0.0333,-0.0085,-0.0264,0.0069,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_4plus,"2023,2024,2025",3,1316,354,0.6154,0.5936,0.6328,0.0392,-0.0105,-0.0275,-0.0014,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_5plus,"2023,2024,2025",3,1316,354,0.5134,0.4723,0.5678,0.0955,0.007,-0.0234,0.0368,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_10plus,"2023,2024,2025",3,1316,354,0.3976,0.3426,0.4661,0.1235,-0.0015,-0.0379,0.0404,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_9plus,"2023,2024,2025",3,1316,354,0.496,0.4532,0.5593,0.1061,-0.0024,-0.0331,0.0356,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,opponent_runs_4plus,"2023,2024,2025",3,1316,354,0.5519,0.5081,0.6328,0.1247,-0.006,-0.0412,0.0583,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,opponent_runs_5plus,"2023,2024,2025",3,1316,354,0.434,0.3801,0.5113,0.1312,0.0024,-0.0365,0.0584,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,team_f5_runs_2plus,"2023,2024,2025",3,1316,354,0.5919,0.5809,0.6016,0.0207,0.0088,-0.0013,0.0262,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,team_post5_runs_2plus,"2023,2024,2025",3,1316,354,0.4642,0.4431,0.5028,0.0597,-0.0167,-0.0305,0.0073,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,team_runs_4plus,"2023,2024,2025",3,1316,354,0.5724,0.5426,0.5955,0.0529,0.0145,-0.0074,0.0462,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,team_runs_5plus,"2023,2024,2025",3,1316,354,0.4132,0.4064,0.4266,0.0202,-0.0184,-0.0263,-0.0101,mixed_or_noisy
home_away+l10_rpg_bucket,home__low_lt_3_5,team_won,"2023,2024,2025",3,1316,354,0.4987,0.4605,0.5213,0.0608,-0.0007,-0.0395,0.0233,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,f5_total_4plus,"2023,2024,2025",3,1279,338,0.6404,0.6269,0.6568,0.0299,0.0144,0.0058,0.0226,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,f5_total_5plus,"2023,2024,2025",3,1279,338,0.5184,0.4967,0.5503,0.0536,0.012,0.001,0.0193,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_10plus,"2023,2024,2025",3,1279,338,0.4039,0.3438,0.4645,0.1207,0.0048,-0.0473,0.0388,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_9plus,"2023,2024,2025",3,1279,338,0.4934,0.45,0.5355,0.0855,-0.0051,-0.0353,0.0118,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_blew_early_small_lead,"2023,2024,2025",3,1279,338,0.2508,0.2354,0.2625,0.0271,-0.0301,-0.0523,-0.0072,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,1279,338,0.2508,0.2354,0.2625,0.0271,-0.0301,-0.0523,-0.0072,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,team_f5_runs_2plus,"2023,2024,2025",3,1279,338,0.5626,0.5531,0.568,0.0149,-0.0205,-0.0265,-0.0087,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,team_post5_runs_2plus,"2023,2024,2025",3,1279,338,0.456,0.4408,0.4794,0.0386,-0.0249,-0.0547,0.0021,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_5plus,"2023,2024,2025",3,1279,338,0.3981,0.3583,0.4187,0.0604,-0.0335,-0.0583,-0.0065,mixed_or_noisy
home_away+l10_rpg_bucket,away__low_lt_3_5,team_trailed_early_1to3,"2023,2024,2025",3,1279,338,0.476,0.4479,0.503,0.0551,-0.012,-0.0448,0.0141,mixed_or_noisy
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,avg_45_60__high_60_75,f5_total_4plus,"2023,2024,2025",3,1261,379,0.6091,0.5532,0.6385,0.0853,-0.0169,-0.0679,0.0159,mixed_or_noisy
