family,feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
combo_tags,tag_weak_leader_fade_watch,yes,team_post5_runs_2plus,"2023,2024,2025",3,1569,453,0.5284,0.5211,0.5387,0.0176,0.0474,0.0432,0.0553,stable_positive_lift
combo_tags,tag_weak_leader_fade_watch,yes,team_runs_4plus,"2023,2024,2025",3,1569,453,0.6403,0.6207,0.6599,0.0392,0.0823,0.0707,0.0909,stable_positive_lift
combo_tags,tag_weak_leader_fade_watch,yes,team_runs_5plus,"2023,2024,2025",3,1569,453,0.5282,0.5019,0.5572,0.0553,0.0966,0.0767,0.1088,stable_positive_lift
combo_tags,tag_weak_leader_fade_watch,yes,team_won,"2023,2024,2025",3,1569,453,0.6035,0.5976,0.6115,0.0139,0.1042,0.0976,0.1115,stable_positive_lift
starter_volatility,opponent_starter_blowup_rate_bucket,below_avg_30_45,game_total_10plus,"2023,2024,2025",3,1235,395,0.4396,0.3899,0.469,0.0791,0.0405,0.0094,0.0779,stable_positive_lift
starter_volatility,opponent_starter_blowup_rate_bucket,below_avg_30_45,team_post5_runs_2plus,"2023,2024,2025",3,1235,395,0.529,0.5012,0.5515,0.0503,0.048,0.0311,0.0569,stable_positive_lift
starter_volatility,opponent_starter_blowup_rate_bucket,below_avg_30_45,team_runs_4plus,"2023,2024,2025",3,1235,395,0.6018,0.5856,0.6224,0.0368,0.0439,0.0363,0.0479,stable_positive_lift
starter_volatility,opponent_starter_blowup_rate_bucket,below_avg_30_45,team_runs_5plus,"2023,2024,2025",3,1235,395,0.475,0.4684,0.4828,0.0144,0.0435,0.0299,0.0573,stable_positive_lift
team_quality,opponent_strength_bucket,lt_40,team_f5_runs_2plus,"2023,2024,2025",3,1224,341,0.6385,0.6158,0.6682,0.0524,0.0554,0.0404,0.0737,stable_positive_lift
team_quality,opponent_strength_bucket,lt_40,team_post5_runs_2plus,"2023,2024,2025",3,1224,341,0.5323,0.4985,0.5538,0.0553,0.0513,0.0284,0.0673,stable_positive_lift
team_quality,opponent_strength_bucket,lt_40,team_runs_4plus,"2023,2024,2025",3,1224,341,0.6543,0.627,0.6906,0.0636,0.0963,0.077,0.1161,stable_positive_lift
team_quality,opponent_strength_bucket,lt_40,team_runs_5plus,"2023,2024,2025",3,1224,341,0.5166,0.4927,0.5605,0.0678,0.085,0.0714,0.1076,stable_positive_lift
team_quality,opponent_strength_bucket,lt_40,team_won,"2023,2024,2025",3,1224,341,0.6126,0.61,0.6156,0.0056,0.1132,0.11,0.1176,stable_positive_lift
team_quality,team_strength_bucket,lt_40,opponent_runs_4plus,"2023,2024,2025",3,1224,341,0.6543,0.627,0.6906,0.0636,0.0963,0.077,0.1161,stable_positive_lift
team_quality,team_strength_bucket,lt_40,opponent_runs_5plus,"2023,2024,2025",3,1224,341,0.5166,0.4927,0.5605,0.0678,0.085,0.0714,0.1076,stable_positive_lift
team_quality,team_strength_bucket,lt_40,team_trailed_early_1to3,"2023,2024,2025",3,1224,341,0.5434,0.508,0.5953,0.0873,0.0553,0.0254,0.1026,stable_positive_lift
offense_consistency,offense_form_bucket,60_plus,team_f5_runs_2plus,"2023,2024,2025",3,1203,353,0.6348,0.5828,0.6701,0.0873,0.0517,0.0074,0.0756,stable_positive_lift
offense_consistency,offense_form_bucket,60_plus,team_runs_4plus,"2023,2024,2025",3,1203,353,0.6087,0.5656,0.6571,0.0915,0.0508,0.0163,0.0826,stable_positive_lift
offense_consistency,offense_form_bucket,60_plus,team_runs_5plus,"2023,2024,2025",3,1203,353,0.4862,0.443,0.5169,0.0739,0.0546,0.0264,0.0734,stable_positive_lift
offense_consistency,offense_form_bucket,60_plus,team_won,"2023,2024,2025",3,1203,353,0.5587,0.5548,0.5662,0.0114,0.0594,0.0548,0.0662,stable_positive_lift
starter_quality,opponent_starter_confidence,none,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_quality,opponent_starter_ip_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_quality,opponent_starter_kbb_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_quality,opponent_starter_ra9_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
