combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
l10_rpg_bucket+opponent_starter_xfip_bucket,mid_3_5_4_5__good_3_75_4_25,team_f5_runs_2plus,"2023,2024,2025",3,831,249,0.527,0.5147,0.5462,0.0315,-0.0562,-0.0648,-0.0483,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,mid_3_5_4_5__excellent_lt_3_75,f5_total_4plus,"2023,2024,2025",3,812,244,0.5704,0.5574,0.5882,0.0308,-0.0556,-0.0686,-0.0344,stable_negative_lift,,
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,below_avg_30_45__avg_45_60,team_runs_5plus,"2023,2024,2025",3,698,174,0.3761,0.3598,0.3966,0.0368,-0.0555,-0.0568,-0.0533,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__excellent_lt_3_75,team_f5_runs_2plus,"2023,2024,2025",3,465,146,0.5276,0.4658,0.5759,0.1101,-0.0555,-0.1096,-0.0186,stable_negative_lift,,
home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_won,"2023,2024,2025",3,2476,774,0.4442,0.4215,0.4602,0.0387,-0.0551,-0.0785,-0.0378,stable_negative_lift,,
,low_lt_30,team_f5_runs_2plus,"2023,2024,2025",3,573,172,0.5285,0.5213,0.5352,0.0139,-0.0546,-0.0654,-0.0402,stable_negative_lift,opponent_vulnerability,opponent_l10_allowed4_rate_bucket
,lt_40,team_f5_runs_2plus,"2023,2024,2025",3,1224,341,0.5287,0.5103,0.5426,0.0323,-0.0544,-0.0651,-0.0463,stable_negative_lift,team_quality,team_strength_bucket
,lt_40,team_runs_5plus,"2023,2024,2025",3,776,250,0.3773,0.356,0.3889,0.0329,-0.0543,-0.064,-0.0383,stable_negative_lift,offense_consistency,offense_form_bucket
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,deep_5_8_6_4__low_lt_3_5,team_f5_runs_2plus,"2023,2024,2025",3,2498,771,0.5292,0.5123,0.5449,0.0326,-0.054,-0.0631,-0.0492,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,mid_3_5_4_5__excellent_lt_3_75,team_f5_runs_2plus,"2023,2024,2025",3,812,244,0.5292,0.4713,0.5588,0.0875,-0.054,-0.1232,-0.0166,stable_negative_lift,,
home_away+l10_rpg_bucket,away__low_lt_3_5,team_won,"2023,2024,2025",3,1279,338,0.4456,0.429,0.4577,0.0287,-0.0538,-0.071,-0.0403,stable_negative_lift,,
