season,combo,feature_value,outcome,count,feature_rate,baseline_rate,lift
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,f5_total_5plus,338,0.5503,0.531,0.0193
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,f5_total_5plus,461,0.4967,0.4957,0.001
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,f5_total_5plus,480,0.5083,0.4925,0.0158
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_10plus,338,0.4645,0.4257,0.0388
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_10plus,461,0.4035,0.3805,0.023
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_10plus,480,0.3438,0.3911,-0.0473
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_9plus,338,0.5355,0.5237,0.0118
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_9plus,461,0.4946,0.4863,0.0083
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,game_total_9plus,480,0.45,0.4853,-0.0353
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_blew_early_small_lead,338,0.2544,0.2853,-0.0309
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_blew_early_small_lead,461,0.2625,0.2697,-0.0072
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_blew_early_small_lead,480,0.2354,0.2877,-0.0523
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_4plus,338,0.6479,0.5745,0.0734
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_4plus,461,0.5835,0.55,0.0335
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_4plus,480,0.5792,0.5493,0.0299
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_5plus,338,0.503,0.4529,0.0501
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_5plus,461,0.4599,0.4252,0.0347
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,opponent_runs_5plus,480,0.4667,0.4166,0.0501
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_scored_next2,338,0.2781,0.3316,-0.0535
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_scored_next2,461,0.3037,0.3148,-0.0111
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_scored_next2,480,0.2458,0.3279,-0.0821
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_tied_or_led_later,338,0.2544,0.2853,-0.0309
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_tied_or_led_later,461,0.2625,0.2697,-0.0072
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_early_deficit_tied_or_led_later,480,0.2354,0.2877,-0.0523
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_f5_runs_2plus,338,0.568,0.5945,-0.0265
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_f5_runs_2plus,461,0.5531,0.5795,-0.0264
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_f5_runs_2plus,480,0.5667,0.5754,-0.0087
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_post5_runs_2plus,338,0.4408,0.4955,-0.0547
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_post5_runs_2plus,461,0.4794,0.4773,0.0021
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_post5_runs_2plus,480,0.4479,0.4701,-0.0222
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_4plus,338,0.5355,0.5745,-0.039
