season,family,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2025,team_quality,home_away,home,opponent_runs_5plus,2475,0.4,0.4166,-0.0166
2023,team_quality,home_away,home,team_early_deficit_scored_next2,2471,0.3804,0.3316,0.0488
2024,team_quality,home_away,home,team_early_deficit_scored_next2,2560,0.35,0.3148,0.0352
2025,team_quality,home_away,home,team_early_deficit_scored_next2,2475,0.3673,0.3279,0.0394
2023,team_quality,home_away,home,team_early_deficit_tied_or_led_later,2471,0.3128,0.2853,0.0275
2024,team_quality,home_away,home,team_early_deficit_tied_or_led_later,2560,0.2965,0.2697,0.0268
2025,team_quality,home_away,home,team_early_deficit_tied_or_led_later,2475,0.3119,0.2877,0.0242
2023,team_quality,home_away,home,team_f5_runs_2plus,2471,0.6062,0.5945,0.0117
2024,team_quality,home_away,home,team_f5_runs_2plus,2560,0.593,0.5795,0.0135
2025,team_quality,home_away,home,team_f5_runs_2plus,2475,0.6008,0.5754,0.0254
2023,team_quality,home_away,home,team_post5_runs_2plus,2471,0.4662,0.4955,-0.0293
2024,team_quality,home_away,home,team_post5_runs_2plus,2560,0.4637,0.4773,-0.0136
2025,team_quality,home_away,home,team_post5_runs_2plus,2475,0.4578,0.4701,-0.0123
2023,team_quality,home_away,home,team_runs_4plus,2471,0.573,0.5745,-0.0015
2024,team_quality,home_away,home,team_runs_4plus,2560,0.5543,0.55,0.0043
2025,team_quality,home_away,home,team_runs_4plus,2475,0.5754,0.5493,0.0261
2023,team_quality,home_away,home,team_runs_5plus,2471,0.4492,0.4529,-0.0037
2024,team_quality,home_away,home,team_runs_5plus,2560,0.4215,0.4252,-0.0037
2025,team_quality,home_away,home,team_runs_5plus,2475,0.4331,0.4166,0.0165
2023,team_quality,home_away,home,team_trailed_early_1to3,2471,0.5071,0.4889,0.0182
2024,team_quality,home_away,home,team_trailed_early_1to3,2560,0.5008,0.4826,0.0182
2025,team_quality,home_away,home,team_trailed_early_1to3,2475,0.4986,0.4927,0.0059
2023,team_quality,home_away,home,team_won,2471,0.5184,0.5,0.0184
2024,team_quality,home_away,home,team_won,2560,0.5195,0.498,0.0215
2025,team_quality,home_away,home,team_won,2475,0.5434,0.5,0.0434
2023,team_quality,team_strength_bucket,40_45,f5_total_4plus,507,0.6331,0.6342,-0.0011
2024,team_quality,team_strength_bucket,40_45,f5_total_4plus,499,0.6693,0.6211,0.0482
2025,team_quality,team_strength_bucket,40_45,f5_total_4plus,577,0.6586,0.6226,0.036
2023,team_quality,team_strength_bucket,40_45,f5_total_5plus,507,0.5582,0.531,0.0272
2024,team_quality,team_strength_bucket,40_45,f5_total_5plus,499,0.5311,0.4957,0.0354
2025,team_quality,team_strength_bucket,40_45,f5_total_5plus,577,0.5269,0.4925,0.0344
2023,team_quality,team_strength_bucket,40_45,game_total_10plus,507,0.432,0.4257,0.0063
2024,team_quality,team_strength_bucket,40_45,game_total_10plus,499,0.3988,0.3805,0.0183
2025,team_quality,team_strength_bucket,40_45,game_total_10plus,577,0.4021,0.3911,0.011
2023,team_quality,team_strength_bucket,40_45,game_total_9plus,507,0.5483,0.5237,0.0246
2024,team_quality,team_strength_bucket,40_45,game_total_9plus,499,0.493,0.4863,0.0067
2025,team_quality,team_strength_bucket,40_45,game_total_9plus,577,0.4939,0.4853,0.0086
2023,team_quality,team_strength_bucket,40_45,opponent_blew_early_small_lead,507,0.284,0.2853,-0.0013
2024,team_quality,team_strength_bucket,40_45,opponent_blew_early_small_lead,499,0.3006,0.2697,0.0309
2025,team_quality,team_strength_bucket,40_45,opponent_blew_early_small_lead,577,0.2582,0.2877,-0.0295
2023,team_quality,team_strength_bucket,40_45,opponent_runs_4plus,507,0.6154,0.5745,0.0409
2024,team_quality,team_strength_bucket,40_45,opponent_runs_4plus,499,0.6052,0.55,0.0552
2025,team_quality,team_strength_bucket,40_45,opponent_runs_4plus,577,0.5927,0.5493,0.0434
2023,team_quality,team_strength_bucket,40_45,opponent_runs_5plus,507,0.5049,0.4529,0.052
2024,team_quality,team_strength_bucket,40_45,opponent_runs_5plus,499,0.511,0.4252,0.0858
2025,team_quality,team_strength_bucket,40_45,opponent_runs_5plus,577,0.4679,0.4166,0.0513
2023,team_quality,team_strength_bucket,40_45,team_early_deficit_scored_next2,507,0.3432,0.3316,0.0116
2024,team_quality,team_strength_bucket,40_45,team_early_deficit_scored_next2,499,0.3828,0.3148,0.068
2025,team_quality,team_strength_bucket,40_45,team_early_deficit_scored_next2,577,0.3293,0.3279,0.0014
2023,team_quality,team_strength_bucket,40_45,team_early_deficit_tied_or_led_later,507,0.284,0.2853,-0.0013
2024,team_quality,team_strength_bucket,40_45,team_early_deficit_tied_or_led_later,499,0.3006,0.2697,0.0309
2025,team_quality,team_strength_bucket,40_45,team_early_deficit_tied_or_led_later,577,0.2582,0.2877,-0.0295
2023,team_quality,team_strength_bucket,40_45,team_f5_runs_2plus,507,0.574,0.5945,-0.0205
2024,team_quality,team_strength_bucket,40_45,team_f5_runs_2plus,499,0.5671,0.5795,-0.0124
2025,team_quality,team_strength_bucket,40_45,team_f5_runs_2plus,577,0.565,0.5754,-0.0104
2023,team_quality,team_strength_bucket,40_45,team_post5_runs_2plus,507,0.4793,0.4955,-0.0162
2024,team_quality,team_strength_bucket,40_45,team_post5_runs_2plus,499,0.4609,0.4773,-0.0164
2025,team_quality,team_strength_bucket,40_45,team_post5_runs_2plus,577,0.4662,0.4701,-0.0039
2023,team_quality,team_strength_bucket,40_45,team_runs_4plus,507,0.574,0.5745,-0.0005
2024,team_quality,team_strength_bucket,40_45,team_runs_4plus,499,0.515,0.55,-0.035
2025,team_quality,team_strength_bucket,40_45,team_runs_4plus,577,0.5147,0.5493,-0.0346
2023,team_quality,team_strength_bucket,40_45,team_runs_5plus,507,0.432,0.4529,-0.0209
2024,team_quality,team_strength_bucket,40_45,team_runs_5plus,499,0.3828,0.4252,-0.0424
2025,team_quality,team_strength_bucket,40_45,team_runs_5plus,577,0.3917,0.4166,-0.0249
2023,team_quality,team_strength_bucket,40_45,team_trailed_early_1to3,507,0.5049,0.4889,0.016
2024,team_quality,team_strength_bucket,40_45,team_trailed_early_1to3,499,0.5772,0.4826,0.0946
2025,team_quality,team_strength_bucket,40_45,team_trailed_early_1to3,577,0.5095,0.4927,0.0168
2023,team_quality,team_strength_bucket,40_45,team_won,507,0.4458,0.5,-0.0542
2024,team_quality,team_strength_bucket,40_45,team_won,499,0.4369,0.498,-0.0611
2025,team_quality,team_strength_bucket,40_45,team_won,577,0.4367,0.5,-0.0633
2023,team_quality,team_strength_bucket,45_50,f5_total_4plus,1212,0.6122,0.6342,-0.022
2024,team_quality,team_strength_bucket,45_50,f5_total_4plus,1598,0.612,0.6211,-0.0091
2025,team_quality,team_strength_bucket,45_50,f5_total_4plus,1215,0.628,0.6226,0.0054
2023,team_quality,team_strength_bucket,45_50,f5_total_5plus,1212,0.5066,0.531,-0.0244
2024,team_quality,team_strength_bucket,45_50,f5_total_5plus,1598,0.4919,0.4957,-0.0038
2025,team_quality,team_strength_bucket,45_50,f5_total_5plus,1215,0.4979,0.4925,0.0054
2023,team_quality,team_strength_bucket,45_50,game_total_10plus,1212,0.4076,0.4257,-0.0181
2024,team_quality,team_strength_bucket,45_50,game_total_10plus,1598,0.3636,0.3805,-0.0169
2025,team_quality,team_strength_bucket,45_50,game_total_10plus,1215,0.4,0.3911,0.0089
2023,team_quality,team_strength_bucket,45_50,game_total_9plus,1212,0.5083,0.5237,-0.0154
2024,team_quality,team_strength_bucket,45_50,game_total_9plus,1598,0.4712,0.4863,-0.0151
2025,team_quality,team_strength_bucket,45_50,game_total_9plus,1215,0.4782,0.4853,-0.0071
2023,team_quality,team_strength_bucket,45_50,opponent_blew_early_small_lead,1212,0.2772,0.2853,-0.0081
2024,team_quality,team_strength_bucket,45_50,opponent_blew_early_small_lead,1598,0.266,0.2697,-0.0037
2025,team_quality,team_strength_bucket,45_50,opponent_blew_early_small_lead,1215,0.2922,0.2877,0.0045
2023,team_quality,team_strength_bucket,45_50,opponent_runs_4plus,1212,0.5899,0.5745,0.0154
2024,team_quality,team_strength_bucket,45_50,opponent_runs_4plus,1598,0.5463,0.55,-0.0037
2025,team_quality,team_strength_bucket,45_50,opponent_runs_4plus,1215,0.5391,0.5493,-0.0102
2023,team_quality,team_strength_bucket,45_50,opponent_runs_5plus,1212,0.4711,0.4529,0.0182
2024,team_quality,team_strength_bucket,45_50,opponent_runs_5plus,1598,0.4193,0.4252,-0.0059
2025,team_quality,team_strength_bucket,45_50,opponent_runs_5plus,1215,0.4181,0.4166,0.0015
2023,team_quality,team_strength_bucket,45_50,team_early_deficit_scored_next2,1212,0.3218,0.3316,-0.0098
2024,team_quality,team_strength_bucket,45_50,team_early_deficit_scored_next2,1598,0.306,0.3148,-0.0088
2025,team_quality,team_strength_bucket,45_50,team_early_deficit_scored_next2,1215,0.3276,0.3279,-0.0003
2023,team_quality,team_strength_bucket,45_50,team_early_deficit_tied_or_led_later,1212,0.2772,0.2853,-0.0081
2024,team_quality,team_strength_bucket,45_50,team_early_deficit_tied_or_led_later,1598,0.266,0.2697,-0.0037
2025,team_quality,team_strength_bucket,45_50,team_early_deficit_tied_or_led_later,1215,0.2922,0.2877,0.0045
2023,team_quality,team_strength_bucket,45_50,team_f5_runs_2plus,1212,0.5759,0.5945,-0.0186
2024,team_quality,team_strength_bucket,45_50,team_f5_runs_2plus,1598,0.5676,0.5795,-0.0119
2025,team_quality,team_strength_bucket,45_50,team_f5_runs_2plus,1215,0.572,0.5754,-0.0034
2023,team_quality,team_strength_bucket,45_50,team_post5_runs_2plus,1212,0.4827,0.4955,-0.0128
2024,team_quality,team_strength_bucket,45_50,team_post5_runs_2plus,1598,0.4675,0.4773,-0.0098
2025,team_quality,team_strength_bucket,45_50,team_post5_runs_2plus,1215,0.4601,0.4701,-0.01
2023,team_quality,team_strength_bucket,45_50,team_runs_4plus,1212,0.5553,0.5745,-0.0192
2024,team_quality,team_strength_bucket,45_50,team_runs_4plus,1598,0.5369,0.55,-0.0131
2025,team_quality,team_strength_bucket,45_50,team_runs_4plus,1215,0.5416,0.5493,-0.0077
2023,team_quality,team_strength_bucket,45_50,team_runs_5plus,1212,0.4241,0.4529,-0.0288
2024,team_quality,team_strength_bucket,45_50,team_runs_5plus,1598,0.4149,0.4252,-0.0103
2025,team_quality,team_strength_bucket,45_50,team_runs_5plus,1215,0.4099,0.4166,-0.0067
2023,team_quality,team_strength_bucket,45_50,team_trailed_early_1to3,1212,0.4926,0.4889,0.0037
2024,team_quality,team_strength_bucket,45_50,team_trailed_early_1to3,1598,0.4718,0.4826,-0.0108
2025,team_quality,team_strength_bucket,45_50,team_trailed_early_1to3,1215,0.5095,0.4927,0.0168
2023,team_quality,team_strength_bucket,45_50,team_won,1212,0.4917,0.5,-0.0083
2024,team_quality,team_strength_bucket,45_50,team_won,1598,0.5019,0.498,0.0039
2025,team_quality,team_strength_bucket,45_50,team_won,1215,0.5021,0.5,0.0021
2023,team_quality,team_strength_bucket,50_55,f5_total_4plus,1740,0.6259,0.6342,-0.0083
2024,team_quality,team_strength_bucket,50_55,f5_total_4plus,1490,0.5879,0.6211,-0.0332
2025,team_quality,team_strength_bucket,50_55,f5_total_4plus,1808,0.6184,0.6226,-0.0042
2023,team_quality,team_strength_bucket,50_55,f5_total_5plus,1740,0.5207,0.531,-0.0103
2024,team_quality,team_strength_bucket,50_55,f5_total_5plus,1490,0.4631,0.4957,-0.0326
2025,team_quality,team_strength_bucket,50_55,f5_total_5plus,1808,0.495,0.4925,0.0025
2023,team_quality,team_strength_bucket,50_55,game_total_10plus,1740,0.4195,0.4257,-0.0062
2024,team_quality,team_strength_bucket,50_55,game_total_10plus,1490,0.3725,0.3805,-0.008
2025,team_quality,team_strength_bucket,50_55,game_total_10plus,1808,0.3767,0.3911,-0.0144
2023,team_quality,team_strength_bucket,50_55,game_total_9plus,1740,0.5121,0.5237,-0.0116
2024,team_quality,team_strength_bucket,50_55,game_total_9plus,1490,0.4805,0.4863,-0.0058
2025,team_quality,team_strength_bucket,50_55,game_total_9plus,1808,0.4845,0.4853,-0.0008
2023,team_quality,team_strength_bucket,50_55,opponent_blew_early_small_lead,1740,0.3034,0.2853,0.0181
2024,team_quality,team_strength_bucket,50_55,opponent_blew_early_small_lead,1490,0.2537,0.2697,-0.016
2025,team_quality,team_strength_bucket,50_55,opponent_blew_early_small_lead,1808,0.2937,0.2877,0.006
2023,team_quality,team_strength_bucket,50_55,opponent_runs_4plus,1740,0.5489,0.5745,-0.0256
2024,team_quality,team_strength_bucket,50_55,opponent_runs_4plus,1490,0.5208,0.55,-0.0292
2025,team_quality,team_strength_bucket,50_55,opponent_runs_4plus,1808,0.5431,0.5493,-0.0062
2023,team_quality,team_strength_bucket,50_55,opponent_runs_5plus,1740,0.419,0.4529,-0.0339
2024,team_quality,team_strength_bucket,50_55,opponent_runs_5plus,1490,0.396,0.4252,-0.0292
2025,team_quality,team_strength_bucket,50_55,opponent_runs_5plus,1808,0.3927,0.4166,-0.0239
2023,team_quality,team_strength_bucket,50_55,team_early_deficit_scored_next2,1740,0.3379,0.3316,0.0063
2024,team_quality,team_strength_bucket,50_55,team_early_deficit_scored_next2,1490,0.2872,0.3148,-0.0276
2025,team_quality,team_strength_bucket,50_55,team_early_deficit_scored_next2,1808,0.3202,0.3279,-0.0077
2023,team_quality,team_strength_bucket,50_55,team_early_deficit_tied_or_led_later,1740,0.3034,0.2853,0.0181
2024,team_quality,team_strength_bucket,50_55,team_early_deficit_tied_or_led_later,1490,0.2537,0.2697,-0.016
2025,team_quality,team_strength_bucket,50_55,team_early_deficit_tied_or_led_later,1808,0.2937,0.2877,0.006
2023,team_quality,team_strength_bucket,50_55,team_f5_runs_2plus,1740,0.5989,0.5945,0.0044
2024,team_quality,team_strength_bucket,50_55,team_f5_runs_2plus,1490,0.5725,0.5795,-0.007
2025,team_quality,team_strength_bucket,50_55,team_f5_runs_2plus,1808,0.5918,0.5754,0.0164
2023,team_quality,team_strength_bucket,50_55,team_post5_runs_2plus,1740,0.5109,0.4955,0.0154
2024,team_quality,team_strength_bucket,50_55,team_post5_runs_2plus,1490,0.4913,0.4773,0.014
2025,team_quality,team_strength_bucket,50_55,team_post5_runs_2plus,1808,0.4757,0.4701,0.0056
2023,team_quality,team_strength_bucket,50_55,team_runs_4plus,1740,0.5845,0.5745,0.01
2024,team_quality,team_strength_bucket,50_55,team_runs_4plus,1490,0.5584,0.55,0.0084
2025,team_quality,team_strength_bucket,50_55,team_runs_4plus,1808,0.5697,0.5493,0.0204
2023,team_quality,team_strength_bucket,50_55,team_runs_5plus,1740,0.4644,0.4529,0.0115
2024,team_quality,team_strength_bucket,50_55,team_runs_5plus,1490,0.4369,0.4252,0.0117
2025,team_quality,team_strength_bucket,50_55,team_runs_5plus,1808,0.4392,0.4166,0.0226
2023,team_quality,team_strength_bucket,50_55,team_trailed_early_1to3,1740,0.4925,0.4889,0.0036
2024,team_quality,team_strength_bucket,50_55,team_trailed_early_1to3,1490,0.457,0.4826,-0.0256
2025,team_quality,team_strength_bucket,50_55,team_trailed_early_1to3,1808,0.464,0.4927,-0.0287
2023,team_quality,team_strength_bucket,50_55,team_won,1740,0.5167,0.5,0.0167
2024,team_quality,team_strength_bucket,50_55,team_won,1490,0.5168,0.498,0.0188
2025,team_quality,team_strength_bucket,50_55,team_won,1808,0.521,0.5,0.021
2023,team_quality,team_strength_bucket,55_60,f5_total_4plus,668,0.6392,0.6342,0.005
2024,team_quality,team_strength_bucket,55_60,f5_total_4plus,774,0.6602,0.6211,0.0391
2025,team_quality,team_strength_bucket,55_60,f5_total_4plus,778,0.6054,0.6226,-0.0172
2023,team_quality,team_strength_bucket,55_60,f5_total_5plus,668,0.5269,0.531,-0.0041
2024,team_quality,team_strength_bucket,55_60,f5_total_5plus,774,0.5594,0.4957,0.0637
2025,team_quality,team_strength_bucket,55_60,f5_total_5plus,778,0.4653,0.4925,-0.0272
2023,team_quality,team_strength_bucket,55_60,game_total_10plus,668,0.4356,0.4257,0.0099
2024,team_quality,team_strength_bucket,55_60,game_total_10plus,774,0.4096,0.3805,0.0291
2025,team_quality,team_strength_bucket,55_60,game_total_10plus,778,0.4023,0.3911,0.0112
2023,team_quality,team_strength_bucket,55_60,game_total_9plus,668,0.5225,0.5237,-0.0012
2024,team_quality,team_strength_bucket,55_60,game_total_9plus,774,0.522,0.4863,0.0357
2025,team_quality,team_strength_bucket,55_60,game_total_9plus,778,0.4871,0.4853,0.0018
2023,team_quality,team_strength_bucket,55_60,opponent_blew_early_small_lead,668,0.265,0.2853,-0.0203
2024,team_quality,team_strength_bucket,55_60,opponent_blew_early_small_lead,774,0.2946,0.2697,0.0249
2025,team_quality,team_strength_bucket,55_60,opponent_blew_early_small_lead,778,0.2956,0.2877,0.0079
2023,team_quality,team_strength_bucket,55_60,opponent_runs_4plus,668,0.5359,0.5745,-0.0386
2024,team_quality,team_strength_bucket,55_60,opponent_runs_4plus,774,0.5452,0.55,-0.0048
2025,team_quality,team_strength_bucket,55_60,opponent_runs_4plus,778,0.5103,0.5493,-0.039
2023,team_quality,team_strength_bucket,55_60,opponent_runs_5plus,668,0.4117,0.4529,-0.0412
2024,team_quality,team_strength_bucket,55_60,opponent_runs_5plus,774,0.4083,0.4252,-0.0169
2025,team_quality,team_strength_bucket,55_60,opponent_runs_5plus,778,0.4036,0.4166,-0.013
2023,team_quality,team_strength_bucket,55_60,team_early_deficit_scored_next2,668,0.3099,0.3316,-0.0217
2024,team_quality,team_strength_bucket,55_60,team_early_deficit_scored_next2,774,0.3372,0.3148,0.0224
