combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__very_bad_5_25_plus,team_f5_runs_2plus,"2023,2024,2025",3,637,147,0.6602,0.6129,0.6875,0.0746,0.0771,0.0375,0.1008,stable_positive_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__bad_4_75_5_25,team_runs_5plus,"2023,2024,2025",3,510,134,0.5085,0.4407,0.5522,0.1115,0.077,0.0241,0.127,stable_positive_lift,,
,lt_40,team_runs_4plus,"2023,2024,2025",3,1131,327,0.6335,0.6119,0.6585,0.0466,0.0755,0.0626,0.084,stable_positive_lift,opponent_vulnerability,opponent_run_prevention_bucket
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__lt_40,team_won,"2023,2024,2025",3,395,124,0.5716,0.5347,0.629,0.0943,0.0723,0.0367,0.129,stable_positive_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__bad_4_75_5_25,team_won,"2023,2024,2025",3,510,134,0.5705,0.5367,0.597,0.0603,0.0712,0.0367,0.099,stable_positive_lift,,
,yes,team_f5_runs_2plus,"2023,2024,2025",3,1569,453,0.6538,0.6446,0.6616,0.017,0.0707,0.0671,0.0757,stable_positive_lift,combo_tags,tag_weak_leader_fade_watch
,lt_40,team_won,"2023,2024,2025",3,1131,327,0.5689,0.5413,0.589,0.0477,0.0696,0.0433,0.089,stable_positive_lift,opponent_vulnerability,opponent_run_prevention_bucket
home_away+opponent_strength_bucket,away__40_45,team_runs_5plus,"2023,2024,2025",3,768,246,0.501,0.438,0.5407,0.1027,0.0694,0.0214,0.1155,stable_positive_lift,,
,mid_3_5_4_5,team_f5_runs_2plus,"2023,2024,2025",3,473,142,0.652,0.6294,0.6646,0.0352,0.0689,0.054,0.0825,stable_positive_lift,f5_post5_identity,opponent_l10_post5_allowed_bucket
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__very_bad_5_25_plus,team_runs_5plus,"2023,2024,2025",3,637,147,0.4994,0.4785,0.5164,0.0379,0.0679,0.0619,0.0782,stable_positive_lift,,
home_away+opponent_strength_bucket,away__lt_40,team_won,"2023,2024,2025",3,625,179,0.567,0.5307,0.5882,0.0575,0.0677,0.0307,0.0882,stable_positive_lift,,
l10_rpg_bucket+opponent_strength_bucket,mid_3_5_4_5__lt_40,team_runs_4plus,"2023,2024,2025",3,395,124,0.6242,0.5748,0.6935,0.1187,0.0662,0.0255,0.119,stable_positive_lift,,
team_strength_bucket+opponent_strength_bucket,45_50__40_45,team_won,"2023,2024,2025",3,392,118,0.5653,0.5339,0.6119,0.078,0.0659,0.0339,0.1139,stable_positive_lift,,
