home_away,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
home,14878,0.2025,0.3113,0.2411,0.4158,0.5171,0.4157,0.478,-3.055,2.055
away,13584,0.1393,0.2555,0.1924,0.311,0.4408,0.3552,0.4475,-3.151,2.227
